State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,JhansiRTO - UP93,ICE,BAJAJ AUTO LTD,307,286,308,389,252,207,207,181,150,310,690,134
Uttar Pradesh,JhansiRTO - UP93,ICE,BMW INDIA PVT LTD,1,0,0,1,1,0,1,0,0,0,1,0
Uttar Pradesh,JhansiRTO - UP93,ICE,CLASSIC LEGENDS PVT LTD,17,11,3,11,3,4,4,3,6,12,10,3
Uttar Pradesh,JhansiRTO - UP93,ICE,HERO MOTOCORP LTD,867,943,911,"1,444",918,723,729,676,327,"1,407","2,651",530
Uttar Pradesh,JhansiRTO - UP93,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,500,485,433,675,612,431,580,528,393,980,"1,219",322
Uttar Pradesh,JhansiRTO - UP93,ICE,INDIA YAMAHA MOTOR PVT LTD,26,25,20,26,27,17,27,18,11,58,39,16
Uttar Pradesh,JhansiRTO - UP93,ICE,PIAGGIO VEHICLES PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,JhansiRTO - UP93,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),126,78,72,105,87,77,67,76,56,191,187,91
Uttar Pradesh,JhansiRTO - UP93,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,0,4,1,3,2,4,2,4,6,2,2,4
Uttar Pradesh,JhansiRTO - UP93,ICE,TVS MOTOR COMPANY LTD,355,399,378,520,401,306,295,280,211,739,885,290
