State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,JhansiRTO - UP93,L3P,ALLFINE INDUSTRIES PVT LTD,1,1,2,3,1,0,0,1,0,0,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,AMBIKA INDUSTRIES,15,5,0,0,1,0,1,4,0,0,5,3
Uttar Pradesh,JhansiRTO - UP93,L3P,A P I MOTORS PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,APM AUTO SALES,1,1,1,0,1,0,0,0,0,2,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,ATUL AUTO LTD,3,3,4,5,13,10,14,16,7,14,7,9
Uttar Pradesh,JhansiRTO - UP93,L3P,AVL ELECTRIC VEHICLES PVT LTD,0,3,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,BAXY LTD,0,0,1,1,1,0,1,0,0,0,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,BEST WAY AGENCIES PVT LTD,0,4,0,0,3,0,6,2,4,3,2,3
Uttar Pradesh,JhansiRTO - UP93,L3P,BHM INDUSTRIES,1,3,0,1,0,0,0,10,1,28,10,12
Uttar Pradesh,JhansiRTO - UP93,L3P,BRIGHT AUTOZONE PVT LTD,23,23,17,9,9,21,25,10,20,11,10,13
Uttar Pradesh,JhansiRTO - UP93,L3P,CHAMPION POLY PLAST,8,5,3,10,6,8,8,5,7,6,6,2
Uttar Pradesh,JhansiRTO - UP93,L3P,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,0,0,0,1,0,1,0,1,2,1,0
Uttar Pradesh,JhansiRTO - UP93,L3P,CONTINENTAL ENGINES PVT LTD,1,1,1,0,0,0,0,0,0,1,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,DELTA AUTOCORP LTD,0,1,2,2,0,0,0,0,0,0,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,DIAMOND E VEHICLES,1,0,0,0,0,4,0,0,0,0,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,DILLI ELECTRIC AUTO PVT LTD,5,4,3,5,7,3,0,30,9,7,10,9
Uttar Pradesh,JhansiRTO - UP93,L3P,DUKE AUTO INDIA,2,2,5,2,1,2,0,0,1,0,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,E-MOTION AUTOMOTIVE INDUSTRY LLP,0,0,2,4,0,0,0,0,0,0,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,ENERGY ELECTRIC VEHICLES,18,18,15,27,27,18,28,29,16,9,22,19
Uttar Pradesh,JhansiRTO - UP93,L3P,ENTICE IMPEX PVT LTD,4,2,0,0,0,0,2,4,4,7,2,1
Uttar Pradesh,JhansiRTO - UP93,L3P,EXIDE INDUSTRIES LTD,1,0,0,0,0,0,1,0,0,0,0,2
Uttar Pradesh,JhansiRTO - UP93,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,7,0,0,0,0,0,0,0,3,2,0,1
Uttar Pradesh,JhansiRTO - UP93,L3P,GRD MOTORS,0,0,0,0,0,3,0,0,0,0,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,HOTAGE INDIA,1,10,5,0,1,2,9,1,13,1,9,11
Uttar Pradesh,JhansiRTO - UP93,L3P,JAIN POWER CORP,2,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,JMT VEHICLES PVT LTD,0,0,1,1,1,0,1,1,0,0,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,J. S. AUTO (P) LTD,30,18,9,12,13,5,17,8,12,4,8,11
Uttar Pradesh,JhansiRTO - UP93,L3P,JS MOBILEON PVT LTD,0,0,0,0,0,0,0,3,4,1,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,KAPTECH INDIA PVT LTD,0,0,4,0,0,0,4,3,0,0,0,1
Uttar Pradesh,JhansiRTO - UP93,L3P,KHALSAE-VEHICLES PVT LTD,7,9,6,3,8,7,6,12,6,6,8,7
Uttar Pradesh,JhansiRTO - UP93,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,4,1,0,3,1,0,1,0,0,0,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,KRISHNA ENGINEERING WORKS,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,LECTRIX E VEHICLES PVT LTD,0,0,0,0,1,4,1,0,0,0,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,LOHIA AUTO INDUSTRIES,3,10,7,5,9,0,5,16,18,15,6,8
Uttar Pradesh,JhansiRTO - UP93,L3P,MAHINDRA LAST MILE MOBILITY LTD,10,4,0,1,2,2,5,1,3,7,6,2
Uttar Pradesh,JhansiRTO - UP93,L3P,MANITA CITY MOTORS LLP,0,0,0,0,1,0,2,6,1,2,2,4
Uttar Pradesh,JhansiRTO - UP93,L3P,MINI METRO EV L.L.P,9,3,5,7,3,3,2,3,2,2,1,4
Uttar Pradesh,JhansiRTO - UP93,L3P,M.K. ENTERPRISES,1,1,0,4,5,0,0,3,0,0,3,3
Uttar Pradesh,JhansiRTO - UP93,L3P,M/S SHRIRAM AUTO TECH PVT LTD,1,6,11,8,14,9,6,23,18,11,22,23
Uttar Pradesh,JhansiRTO - UP93,L3P,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,3,2,3,3,4,1,2,0,0,1,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,OKAYA POWER PVT LTD,0,0,0,0,0,0,0,0,0,0,0,2
Uttar Pradesh,JhansiRTO - UP93,L3P,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,5,2,0,1,1,2,1,0,1,0,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,RCJ AUTO FORGE PVT LTD,0,1,2,8,3,4,6,5,2,7,1,5
Uttar Pradesh,JhansiRTO - UP93,L3P,SAERA ELECTRIC AUTO PVT LTD,24,17,5,6,18,9,14,13,16,8,3,6
Uttar Pradesh,JhansiRTO - UP93,L3P,SAHNIANAND E VEHICLES PVT LTD,0,3,4,5,1,7,4,6,8,5,3,15
Uttar Pradesh,JhansiRTO - UP93,L3P,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,0,0,0,0,0,0,0,1,1,3
Uttar Pradesh,JhansiRTO - UP93,L3P,SHIV OM INDIA,2,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,SHRI BARSANA E-VEHICLES PVT LTD,3,0,0,1,0,0,0,1,1,1,1,2
Uttar Pradesh,JhansiRTO - UP93,L3P,SKS TRADE INDIA PVT LTD,3,3,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,SPEEGO VEHICLES CO PVT LTD,4,0,1,0,1,1,0,0,0,1,1,0
Uttar Pradesh,JhansiRTO - UP93,L3P,SRD RENEWABLES,4,1,4,4,0,2,5,2,2,0,1,1
Uttar Pradesh,JhansiRTO - UP93,L3P,STAR IGLOBAL AUTOMOTIVE PVT LTD,3,2,2,2,4,0,3,0,0,0,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,SUPERTECH EV LIMITED,0,0,0,0,0,0,0,0,0,0,10,5
Uttar Pradesh,JhansiRTO - UP93,L3P,TERRA MOTORS INDIA PVT LTD,4,8,2,3,2,2,1,2,0,1,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,0,0,0,0,1,0,1,1
Uttar Pradesh,JhansiRTO - UP93,L3P,TWO FRIENDS AUTO ELECTRIC PVT LTD,7,5,3,7,6,0,3,5,4,0,2,3
Uttar Pradesh,JhansiRTO - UP93,L3P,UNIQUE INTERNATIONAL,5,0,1,2,1,0,0,1,0,10,2,1
Uttar Pradesh,JhansiRTO - UP93,L3P,U.P. TELELINKS LIMITED,3,1,2,5,2,1,2,5,5,4,4,1
Uttar Pradesh,JhansiRTO - UP93,L3P,VENUS AUTO WHEELS PVT LTD,0,5,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,JhansiRTO - UP93,L3P,VICTORY ELECTRIC INTERNATIONAL,1,1,2,0,0,2,2,0,0,2,2,2
Uttar Pradesh,JhansiRTO - UP93,L3P,YC ELECTRIC VEHICLE,9,6,4,2,12,7,4,4,3,0,3,3
Uttar Pradesh,JhansiRTO - UP93,L3P,ZEOPLUS AXIS INDIA PVT. LTD.,0,0,0,0,0,0,0,0,0,7,0,6
