State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,ACCRETION POWER AUTOS,1,5,3,6,4,1,1,1,2,6,2,3
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,AJAY MOTORS PRIVATE LIMITED,1,1,0,1,3,1,4,2,0,4,3,1
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,AMBIKA INDUSTRIES,10,7,7,4,8,8,7,3,8,15,6,13
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,APM AUTO SALES,0,0,0,1,1,0,0,0,1,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,ARCHIT ENTERPRISES,2,1,1,0,0,1,0,0,0,1,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,A.V.AUTOMOTIVES PVT LTD,1,1,0,0,0,1,0,0,0,1,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,BHM INDUSTRIES,6,8,6,4,7,6,7,3,9,6,5,1
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,BRIGHT AUTOZONE PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,CART INDIA,0,0,0,0,0,0,0,30,0,0,0,2
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,0,0,0,2,0,0,0,0,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,DILLI ELECTRIC AUTO PVT LTD,0,3,0,2,2,3,3,2,2,7,0,2
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,DUKE AUTO INDIA,0,0,0,0,0,0,0,0,0,0,0,2
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,ENERGY ELECTRIC VEHICLES,5,21,2,4,7,5,8,3,5,10,7,2
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,ENTICE IMPEX PVT LTD,0,0,0,1,1,1,0,2,1,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,GREENWHEELS AUTOMOBILE PVT LTD,1,2,2,1,0,0,1,0,1,4,1,2
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,HOTAGE INDIA,9,5,7,3,4,4,2,2,7,7,11,8
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,JMT VEHICLES PVT LTD,1,3,4,3,5,6,1,3,4,13,9,2
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,J. S. AUTO (P) LTD,5,19,16,26,31,18,20,23,18,38,32,32
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,JS MOBILEON PVT LTD,0,0,2,0,2,1,1,1,0,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,KHALSAE-VEHICLES PVT LTD,0,0,0,1,0,2,0,0,0,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,4,0,0,0,0,0,0,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,KLB KOMAKI PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,LECTRIX E VEHICLES PVT LTD,0,1,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,LOHAKA INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,0,2,2,4
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,LOHIA AUTO INDUSTRIES,1,0,0,2,1,0,0,2,0,1,2,1
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,MAHINDRA LAST MILE MOBILITY LTD,0,0,0,4,2,0,0,0,0,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,MINI METRO EV L.L.P,0,0,2,1,1,0,0,0,0,1,0,4
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,M/S SHRIRAM AUTO TECH PVT LTD,0,0,1,1,1,0,1,1,1,2,1,3
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,0,0,0,0,0,1,1,1,4,1,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,2,6,0,2,7,5,1,1,5,5,2,2
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,PARAS INDUSTRIES,1,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,REPUBLIC MOTORS,0,0,0,0,9,0,0,0,0,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,SAERA ELECTRIC AUTO PVT LTD,1,1,1,1,0,0,0,0,0,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,0,2,0,0,2,0,0,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,SETH INDUSTRIAL CORPORATION,0,0,1,0,0,0,1,0,0,3,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,SHIVA ENTERPRISES,0,0,0,0,0,0,0,0,0,0,7,6
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,1,2,0,1,0,0,1,0,0,1,1
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,SHRI NAMO ELECTRIC AUTOMOTIVE,2,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,SRD RENEWABLES,0,0,0,0,0,0,0,0,0,0,0,4
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,SSEV ENTERPRISES PRIVATE LIMITED,0,0,0,0,0,0,0,0,0,0,2,6
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,SUPER METRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,7
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,T U K INDUSTRIES,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,UNIQUE ENTERPRISES,0,0,0,0,0,0,0,0,2,1,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,VENUS AUTO WHEELS PVT LTD,11,2,13,18,11,4,15,8,10,21,11,3
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,VICTORY ELECTRIC INTERNATIONAL,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,2,0,1,0,2,1,0,0,2,1,3,3
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,VIJAYSHREE AUTOCOM LIMITED,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3G,YC ELECTRIC VEHICLE,1,1,4,4,1,8,1,1,3,6,2,2
