State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,KANPUR NAGAR - UP78,L5P,ATUL GREENTECH PRIVATE LIMITED,0,0,0,0,0,0,0,0,1,8,8,3
Uttar Pradesh,KANPUR NAGAR - UP78,L5P,BAJAJ AUTO LTD,189,154,357,253,272,268,351,330,411,469,621,297
Uttar Pradesh,KANPUR NAGAR - UP78,L5P,EULER MOTORS PVT LTD,0,0,0,0,0,0,0,0,1,0,1,0
Uttar Pradesh,KANPUR NAGAR - UP78,L5P,EVCO AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,2,2,1,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L5P,KETO MOTORS PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L5P,MAHINDRA LAST MILE MOBILITY LTD,5,3,64,18,41,63,82,72,80,160,155,108
Uttar Pradesh,KANPUR NAGAR - UP78,L5P,MAHINDRA & MAHINDRA LIMITED,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L5P,MLR AUTO LTD,0,0,5,2,1,8,1,4,1,0,1,3
Uttar Pradesh,KANPUR NAGAR - UP78,L5P,OMEGA SEIKI PVT LTD,0,0,7,13,11,10,12,15,7,11,9,6
Uttar Pradesh,KANPUR NAGAR - UP78,L5P,PIAGGIO VEHICLES PVT LTD,49,79,204,26,76,61,107,143,109,121,169,58
Uttar Pradesh,KANPUR NAGAR - UP78,L5P,RASANDIK ENGINEERING INDUSTRIES INDIA LTD,1,2,1,1,0,1,1,0,0,1,1,0
Uttar Pradesh,KANPUR NAGAR - UP78,L5P,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,KANPUR NAGAR - UP78,L5P,TI CLEAN MOBILITY PVT LTD,14,17,37,17,17,17,27,31,21,22,27,14
Uttar Pradesh,KANPUR NAGAR - UP78,L5P,TVS MOTOR COMPANY LTD,0,0,0,0,0,0,0,3,8,12,20,19
Uttar Pradesh,KANPUR NAGAR - UP78,L5P,VICTORY ELECTRIC INTERNATIONAL,0,0,0,0,0,0,0,0,0,3,1,0
Uttar Pradesh,KANPUR NAGAR - UP78,L5P,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,1,7,2,0,0,0,0,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L5P,ZERO 21 RENEWABLE ENERGY SOLUTIONS PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
