State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,KANPUR NAGAR - UP78,ICE,BAJAJ AUTO LTD,549,600,522,718,604,456,11,"3,460",0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,ICE,BMW INDIA PVT LTD,3,3,0,2,2,1,0,11,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,ICE,CLASSIC LEGENDS PVT LTD,17,8,6,10,7,6,0,54,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,ICE,HERO MOTOCORP LTD,"1,413","1,496","1,282","1,701","1,495","1,201",24,"8,612",0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,"1,342","1,185","1,129","1,532","1,351","1,197",25,"7,761",0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,0,2,0,0,0,0,2,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,ICE,INDIA YAMAHA MOTOR PVT LTD,79,86,86,116,61,74,0,502,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,ICE,PIAGGIO VEHICLES PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,ICE,QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO),0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),331,334,282,394,281,222,1,"1,845",0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,378,320,485,533,401,305,5,"2,427",0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,ICE,TVS MOTOR COMPANY LTD,"1,220","1,155","1,053","1,423","1,197",970,35,"7,053",0,0,0
