State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,3S INDUSTRIES PRIVATE LIMITED,1,0,0,0,0,3,0,4,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,ACCRETION POWER AUTOS,3,3,4,4,4,2,0,20,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,AFKON AUTOMOTIVES PVT LTD,1,2,0,3,2,1,0,9,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,AJAY MOTORS PRIVATE LIMITED,0,3,1,3,2,0,0,9,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,AMBIKA INDUSTRIES,44,46,37,50,46,35,6,264,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,APM AUTO SALES,1,0,2,0,1,0,0,4,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,ARCHIT ENTERPRISES,1,1,1,0,0,0,0,3,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,ARYAN INDUSTRIES,0,0,0,2,1,0,0,3,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,B24 ROKET EV,0,0,0,0,0,3,0,3,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,BAXY LTD,1,0,0,0,0,1,0,2,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,BEST WAY AGENCIES PVT LTD,2,0,1,2,1,0,0,6,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,BHADAURIA ENTERPRISES,0,1,0,0,0,1,0,2,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,BHAVE ELECTRIC VEHICLES PVT LTD,2,0,5,14,0,5,0,26,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,BHM INDUSTRIES,12,7,3,4,8,13,0,47,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,BRIGHT AUTOZONE PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,CHAMPION POLY PLAST,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,CHAUHAN AUTO INDUSTRIES,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,DEV MOTORS,0,3,3,1,7,4,0,18,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,DILLI ELECTRIC AUTO PVT LTD,3,2,3,3,3,4,0,18,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,DUKE AUTO INDIA,2,2,2,8,1,4,0,19,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,ENERGY ELECTRIC VEHICLES,7,5,3,12,4,7,0,38,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,EVCO AUTOMOBILES PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,HOTAGE INDIA,29,34,19,34,25,33,0,174,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,INDIAN MOTORS,2,0,3,5,2,2,0,14,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,JMT VEHICLES PVT LTD,8,7,5,9,10,6,0,45,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,J. S. AUTO (P) LTD,18,22,15,12,17,13,1,98,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,2,0,0,3,0,5,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,KIRAN AUTOMOBILE INDUSTRY,10,7,3,9,4,1,0,34,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,KRISHNA ENGINEERING WORKS,3,5,1,5,1,4,0,19,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,LECTRIX E VEHICLES PVT LTD,2,0,0,0,3,0,0,5,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,LOHAKA INDUSTRIES PVT LTD,3,2,1,3,9,3,0,21,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,LOHIA AUTO INDUSTRIES,9,4,10,6,10,9,0,48,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,MAHINDRA LAST MILE MOBILITY LTD,2,0,2,2,3,0,0,9,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,MALAK TECHNO PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,MANITA CITY MOTORS LLP,5,1,1,4,2,2,0,15,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,MINI METRO EV L.L.P,13,9,14,13,13,10,0,72,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,M.K. ENTERPRISES,1,2,4,5,5,2,0,19,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,M/S SHRIRAM AUTO TECH PVT LTD,26,21,19,11,17,12,1,107,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,MVM MOTORS PRIVATE LIMITED,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,8,9,4,10,8,5,4,48,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,NEW ARCANA INDIA,1,0,1,0,1,0,0,3,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,17,13,17,15,13,11,0,86,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,OKAYA POWER PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,6,3,1,8,0,1,0,19,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,OM RAJ AUTOTECH LLP,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,PANTHER ELECTRIC VEHICLES,2,2,1,1,0,0,0,6,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,PARAS INDUSTRIES,7,2,5,7,2,3,0,26,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,PUNJAB BODY BUILDERS,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,RAMON INDUSTRIES,2,0,0,1,0,0,0,3,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,ROARLEO MOTOR PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,SAERA ELECTRIC AUTO PVT LTD,3,0,1,1,2,1,0,8,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,3,1,0,0,0,0,0,4,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,SETH INDUSTRIAL CORPORATION,2,1,3,0,1,1,0,8,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,SHIVA ENTERPRISES,15,15,15,20,5,9,1,80,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,SHREYA ENGINEERS,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,SHRI BARSANA E-VEHICLES PVT LTD,2,0,3,1,0,1,0,7,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,SHRI NAMO ELECTRIC AUTOMOTIVE,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,SIDANA INDUSTRIES,0,0,0,0,3,3,0,6,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,SIRF INDIA VEHICLES PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,SKS TRADE INDIA PVT LTD,3,1,1,4,1,1,0,11,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,S.M ELECTRIC VEHICLE,12,10,8,13,7,4,0,54,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,SRD RENEWABLES,15,15,14,18,8,12,0,82,0,0,0
Uttar Pradesh,KANPUR NAGAR - UP78,L3P,SSEV ENTERPRISES PRIVATE LIMITED,2,3,4,4,3,2,0,18,0,0,0
