State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Kannauj - UP74,E2W,AMO MOBILITY SOLUTIONS PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Kannauj - UP74,E2W,ATHER ENERGY LTD,0,0,0,0,0,0,1,0,0,0,1,0
Uttar Pradesh,Kannauj - UP74,E2W,BAJAJ AUTO LTD,0,0,0,0,0,0,1,10,17,13,21,15
Uttar Pradesh,Kannauj - UP74,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,1,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Kannauj - UP74,E2W,HERO MOTOCORP LTD,1,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Kannauj - UP74,E2W,HOP ELECTRIC MOBILITY PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Kannauj - UP74,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,12,3,11,9,15,4,12,8,4,10,5,2
Uttar Pradesh,Kannauj - UP74,E2W,REVOLT INTELLICORP PVT LTD,0,1,1,0,2,0,0,0,1,0,0,0
Uttar Pradesh,Kannauj - UP74,E2W,TVS MOTOR COMPANY LTD,2,2,3,2,1,2,3,1,3,13,9,19
Uttar Pradesh,Kannauj - UP74,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,5,7,0,7,3,0,3,0,0,0,0
