State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Kannauj - UP74,L3G,ACCRETION POWER AUTOS,0,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Kannauj - UP74,L3G,ATTOLENT AUTO GROUP PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Kannauj - UP74,L3G,BHAVE ELECTRIC VEHICLES PVT LTD,0,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Kannauj - UP74,L3G,BHM INDUSTRIES,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Kannauj - UP74,L3G,ENERGY ELECTRIC VEHICLES,0,0,0,0,0,1,0,0,0,1,0,2
Uttar Pradesh,Kannauj - UP74,L3G,EVCO AUTOMOBILES PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Kannauj - UP74,L3G,J. S. AUTO (P) LTD,0,3,0,0,2,0,3,0,0,0,5,2
Uttar Pradesh,Kannauj - UP74,L3G,MAHAK TEEN UDYOG,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Kannauj - UP74,L3G,MINI METRO EV L.L.P,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Kannauj - UP74,L3G,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Kannauj - UP74,L3G,SAHNIANAND E VEHICLES PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Kannauj - UP74,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,0,1,0,1,0,1,1,3
