State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Kannauj - UP74,L3P,ACCRETION POWER AUTOS,0,0,3,11,0,0,1,15,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,AKG INTERNATIONAL,1,3,2,2,2,2,0,12,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,AMBIKA INDUSTRIES,0,0,2,1,0,0,0,3,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,A P I MOTORS PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,APM AUTO SALES,5,5,1,21,14,13,0,59,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,ARCHIT ENTERPRISES,0,2,0,4,0,0,0,6,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,ARROW AUTOMOTIVE,0,0,0,2,4,0,0,6,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,ASHA IMPEX,1,1,0,0,0,0,0,2,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,ATTOLENT AUTO GROUP PVT LTD,0,0,0,2,14,1,0,17,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,ATUT SANGAM,3,0,0,4,7,1,0,15,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,AVL ELECTRIC VEHICLES PVT LTD,3,0,0,12,12,1,0,28,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,BABA E-VEHICLES,0,0,0,2,0,1,0,3,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,BEST WAY AGENCIES PVT LTD,3,1,9,41,7,13,0,74,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,BHAVE ELECTRIC VEHICLES PVT LTD,0,0,0,4,0,2,0,6,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,BHM INDUSTRIES,4,0,2,11,9,7,0,33,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,BRIGHT AUTOZONE PVT LTD,0,1,6,1,3,0,0,11,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,CHAMPION POLY PLAST,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,DAKSH INDUSTRIES,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,DEV MOTORS,0,2,2,7,9,9,0,29,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,DUKE AUTO INDIA,0,0,0,0,2,0,0,2,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,ENERGY ELECTRIC VEHICLES,9,9,8,14,9,2,0,51,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,EVCO AUTOMOBILES PVT LTD,0,0,0,11,7,4,0,22,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,GAGAN AUTOMOTIVES,0,0,0,5,0,0,0,5,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,GKON ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,15,2,2,0,19,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,GRD MOTORS,0,0,0,2,0,0,0,2,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,GREENFIT INDUSTRIES LLP,0,0,0,2,0,0,0,2,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,HARSH TRADING CO,0,0,0,0,0,5,0,5,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,HOP MOTORS PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,HOTAGE INDIA,2,24,12,21,16,3,0,78,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,0,0,0,0,5,1,1,7,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,JITENDRA TEMPO PARTS,0,0,0,0,3,0,0,3,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,JMT VEHICLES PVT LTD,44,4,3,45,14,7,0,117,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,J. S. AUTO (P) LTD,2,5,1,8,23,10,2,51,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,KATYAYANI AUTOMOTIVE,0,0,0,0,2,0,0,2,0,0,0
Uttar Pradesh,Kannauj - UP74,L3P,KGN INDUSTRIES,0,2,7,52,31,12,0,104,0,0,0
