State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Kanpur Dehat - UP77,E2W,ATHER ENERGY LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Kanpur Dehat - UP77,E2W,BAJAJ AUTO LTD,0,0,0,0,0,3,0,2,4,5,11,2
Uttar Pradesh,Kanpur Dehat - UP77,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,E2W,HERO MOTOCORP LTD,0,1,0,0,0,0,0,2,0,1,0,0
Uttar Pradesh,Kanpur Dehat - UP77,E2W,JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,E2W,KLB KOMAKI PVT LTD,8,2,0,0,0,0,0,0,0,8,7,1
Uttar Pradesh,Kanpur Dehat - UP77,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,7,8,10,11,8,10,11,13,5,12,6,3
Uttar Pradesh,Kanpur Dehat - UP77,E2W,REVOLT INTELLICORP PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,E2W,RGM BUSINESS PLUS PVT LTD,0,0,2,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,E2W,TVS MOTOR COMPANY LTD,0,0,2,0,1,1,7,3,0,11,10,3
