State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Kanpur Dehat - UP77,L3P,3S INDUSTRIES PRIVATE LIMITED,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,ACCRETION POWER AUTOS,0,0,0,0,0,1,0,1,0,0,2,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,AKG INTERNATIONAL,0,0,0,0,1,0,3,0,0,0,0,2
Uttar Pradesh,Kanpur Dehat - UP77,L3P,AMBIKA INDUSTRIES,16,7,11,8,9,15,7,9,5,11,8,17
Uttar Pradesh,Kanpur Dehat - UP77,L3P,APM AUTO SALES,0,1,0,0,0,0,11,5,1,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,ARCHIT ENTERPRISES,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,ASHA IMPEX,0,0,1,8,1,2,6,4,4,5,8,7
Uttar Pradesh,Kanpur Dehat - UP77,L3P,ATUL AUTO LTD,2,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,B24 ROKET EV,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,BABA E-VEHICLES,0,0,0,0,0,0,0,1,0,1,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,BAJAJ IMPLEMENTS PVT. LTD,0,0,0,0,0,0,0,0,1,1,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,BEST WAY AGENCIES PVT LTD,0,0,2,0,1,0,0,0,0,0,1,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,BHADAURIA ENTERPRISES,0,0,7,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,BHM INDUSTRIES,2,2,5,6,4,3,4,1,4,0,3,5
Uttar Pradesh,Kanpur Dehat - UP77,L3P,BRIGHT AUTOZONE PVT LTD,0,0,0,0,1,0,0,1,0,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,DUKE AUTO INDIA,3,0,0,0,1,1,1,0,0,0,1,2
Uttar Pradesh,Kanpur Dehat - UP77,L3P,ENERGY ELECTRIC VEHICLES,2,2,3,4,5,2,3,2,2,1,0,1
Uttar Pradesh,Kanpur Dehat - UP77,L3P,ENTICE IMPEX PVT LTD,0,0,0,0,0,0,2,1,2,1,3,3
Uttar Pradesh,Kanpur Dehat - UP77,L3P,EVCO AUTOMOBILES PVT LTD,0,0,14,6,7,9,12,13,11,15,12,16
Uttar Pradesh,Kanpur Dehat - UP77,L3P,FIRST CHOICE ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,GKON ELECTRIC MOTOR VEHICLES PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,HI-TECH INDUSTRIES,1,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,HOTAGE INDIA,35,43,25,29,13,23,29,8,15,13,48,22
Uttar Pradesh,Kanpur Dehat - UP77,L3P,JMT VEHICLES PVT LTD,4,10,7,3,9,7,3,7,4,8,8,9
Uttar Pradesh,Kanpur Dehat - UP77,L3P,J. S. AUTO (P) LTD,13,12,5,20,10,11,8,19,18,27,26,24
Uttar Pradesh,Kanpur Dehat - UP77,L3P,KIRAN AUTOMOBILE INDUSTRY,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,KLB KOMAKI PVT LTD,0,0,0,1,0,0,0,3,1,0,0,1
