State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Kanpur Dehat - UP77,L3P,3S INDUSTRIES PRIVATE LIMITED,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,ACCRETION POWER AUTOS,2,0,1,0,0,0,0,3,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,AJAY MOTORS PRIVATE LIMITED,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,AMBIKA INDUSTRIES,6,1,9,16,6,2,3,43,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,APM AUTO SALES,1,0,6,1,5,2,0,15,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,ASHA IMPEX,5,2,2,7,4,2,0,22,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,B24 ROKET EV,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,BEST WAY AGENCIES PVT LTD,0,1,0,2,0,0,0,3,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,BHADAURIA ENTERPRISES,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,BHM INDUSTRIES,2,3,8,5,2,1,0,21,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,DEV MOTORS,0,0,0,1,0,0,1,2,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,DUKE AUTO INDIA,1,1,0,0,1,0,0,3,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,ENERGY ELECTRIC VEHICLES,0,1,1,4,3,1,0,10,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,ENTICE IMPEX PVT LTD,3,1,2,1,0,0,0,7,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,EVCO AUTOMOBILES PVT LTD,7,4,2,9,14,10,0,46,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,HOTAGE INDIA,7,31,15,10,13,14,0,90,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,INDIAN MOTORS,0,0,0,0,0,5,0,5,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,JMT VEHICLES PVT LTD,10,9,9,8,9,11,0,56,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,J. S. AUTO (P) LTD,16,10,21,43,18,17,0,125,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,KIRAN AUTOMOBILE INDUSTRY,1,3,1,1,0,2,0,8,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,KLB KOMAKI PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,KRISHNA ENGINEERING WORKS,2,2,2,5,2,3,0,16,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,LECTRIX E VEHICLES PVT LTD,1,1,5,3,2,2,0,14,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,LOHAKA INDUSTRIES PVT LTD,0,1,0,0,0,1,0,2,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,LOHIA AUTO INDUSTRIES,2,0,1,3,2,4,0,12,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,MAHINDRA LAST MILE MOBILITY LTD,0,1,2,1,0,0,0,4,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,MANITA CITY MOTORS LLP,3,1,2,1,1,1,0,9,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,M/S SHRIRAM AUTO TECH PVT LTD,1,0,2,0,1,7,0,11,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,2,2,3,7,5,6,1,26,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,NEW ARCANA INDIA,1,5,1,4,3,3,0,17,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,6,2,6,8,6,6,0,34,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,OM RAJ AUTOTECH LLP,0,0,1,0,1,0,0,2,0,0,0
Uttar Pradesh,Kanpur Dehat - UP77,L3P,PANTHER ELECTRIC VEHICLES,1,0,0,0,0,0,0,1,0,0,0
