State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Kasganj(kashi ram nagar) - UP87,L3G,ATTOLENT AUTO GROUP PVT LTD,0,0,0,49,0,0,0,49,0,0,0
Uttar Pradesh,Kasganj(kashi ram nagar) - UP87,L3G,BADSHAH ENTERPRISES,0,0,0,0,1,1,0,2,0,0,0
Uttar Pradesh,Kasganj(kashi ram nagar) - UP87,L3G,ELITE AUTO ENGINEERS PVT LTD,0,0,0,1,1,0,0,2,0,0,0
Uttar Pradesh,Kasganj(kashi ram nagar) - UP87,L3G,INTERGLOBE ENERGY PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Kasganj(kashi ram nagar) - UP87,L3G,J. S. AUTO (P) LTD,0,0,4,3,6,2,0,15,0,0,0
Uttar Pradesh,Kasganj(kashi ram nagar) - UP87,L3G,KHALSAE-VEHICLES PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Kasganj(kashi ram nagar) - UP87,L3G,MAHAK TEEN UDYOG,0,0,0,0,2,10,0,12,0,0,0
Uttar Pradesh,Kasganj(kashi ram nagar) - UP87,L3G,MINI METRO EV L.L.P,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Kasganj(kashi ram nagar) - UP87,L3G,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,1,0,1,0,0,0,2,0,0,0
Uttar Pradesh,Kasganj(kashi ram nagar) - UP87,L3G,PARAS INDUSTRIES,0,0,0,0,0,0,1,1,0,0,0
Uttar Pradesh,Kasganj(kashi ram nagar) - UP87,L3G,SAHNIANAND E VEHICLES PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Kasganj(kashi ram nagar) - UP87,L3G,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Kasganj(kashi ram nagar) - UP87,L3G,T U K INDUSTRIES,0,0,0,1,1,1,1,4,0,0,0
Uttar Pradesh,Kasganj(kashi ram nagar) - UP87,L3G,UNIQUE ENTERPRISES,0,0,0,0,2,3,0,5,0,0,0
Uttar Pradesh,Kasganj(kashi ram nagar) - UP87,L3G,VIMAL UNIVERSAL TRADE PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Kasganj(kashi ram nagar) - UP87,L3G,YC ELECTRIC VEHICLE,2,0,0,2,0,1,0,5,0,0,0
Uttar Pradesh,Kasganj(kashi ram nagar) - UP87,L3G,ZEOPLUS AXIS INDIA PVT. LTD.,0,0,0,0,3,1,0,4,0,0,0
