State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Kaushambi - UP73,E2W,ATHER ENERGY LTD,1,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Kaushambi - UP73,E2W,BAJAJ AUTO LTD,0,1,1,0,0,0,3,0,1,6,6,4
Uttar Pradesh,Kaushambi - UP73,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Kaushambi - UP73,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Kaushambi - UP73,E2W,HERO ELECTRIC VEHICLES PVT. LTD,1,0,0,0,4,0,0,0,0,0,0,5
Uttar Pradesh,Kaushambi - UP73,E2W,HERO MOTOCORP LTD,0,1,1,0,0,1,0,0,0,3,2,0
Uttar Pradesh,Kaushambi - UP73,E2W,IVOOMI INNOVATION PVT LTD,0,2,0,0,1,0,0,0,1,0,1,0
Uttar Pradesh,Kaushambi - UP73,E2W,OKAYA EV PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Kaushambi - UP73,E2W,OKINAWA AUTOTECH PVT LTD,2,0,0,0,4,0,0,1,0,0,0,1
Uttar Pradesh,Kaushambi - UP73,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,4,3,4,4,7,8,6,4,2,4,3,4
Uttar Pradesh,Kaushambi - UP73,E2W,PUR ENERGY PVT LTD,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Kaushambi - UP73,E2W,TVS MOTOR COMPANY LTD,0,0,2,0,0,1,2,2,1,2,12,5
Uttar Pradesh,Kaushambi - UP73,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,3,0,1,0,7,0,0,2,0,0,0,0
