State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Kaushambi - UP73,L3P,ACCRETION POWER AUTOS,1,1,1,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Kaushambi - UP73,L3P,ADM TECHNOLOGIES PVT. LTD.,0,1,2,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Kaushambi - UP73,L3P,AFKON AUTOMOTIVES PVT LTD,0,0,0,0,0,0,0,1,2,3,3,1
Uttar Pradesh,Kaushambi - UP73,L3P,AKG INTERNATIONAL,7,0,13,7,0,8,13,2,0,0,0,0
Uttar Pradesh,Kaushambi - UP73,L3P,ALLFINE INDUSTRIES PVT LTD,0,0,0,0,0,0,1,0,0,1,0,0
Uttar Pradesh,Kaushambi - UP73,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,2,1,0
Uttar Pradesh,Kaushambi - UP73,L3P,APM AUTO SALES,0,0,0,0,0,1,2,1,3,2,2,3
Uttar Pradesh,Kaushambi - UP73,L3P,ATTOLENT AUTO GROUP PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Kaushambi - UP73,L3P,AVL ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Kaushambi - UP73,L3P,AVON CYCLES LTD,2,2,1,0,3,0,1,0,0,0,5,2
Uttar Pradesh,Kaushambi - UP73,L3P,B24 ROKET EV,0,0,0,1,1,0,0,0,0,0,1,0
Uttar Pradesh,Kaushambi - UP73,L3P,BABA E-VEHICLES,0,0,0,0,0,0,0,0,0,0,0,4
Uttar Pradesh,Kaushambi - UP73,L3P,BEST WAY AGENCIES PVT LTD,0,0,0,0,0,0,0,2,1,0,0,1
Uttar Pradesh,Kaushambi - UP73,L3P,BHM INDUSTRIES,9,9,13,9,6,12,14,3,11,8,8,16
Uttar Pradesh,Kaushambi - UP73,L3P,BRIGHT AUTOZONE PVT LTD,11,0,2,0,3,2,1,4,3,8,3,3
Uttar Pradesh,Kaushambi - UP73,L3P,CHAMPION POLY PLAST,6,3,4,1,0,0,3,1,0,0,0,0
Uttar Pradesh,Kaushambi - UP73,L3P,CHEHAK BATTERIES,2,0,0,0,1,1,1,0,0,1,0,0
Uttar Pradesh,Kaushambi - UP73,L3P,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Kaushambi - UP73,L3P,CONTINENTAL ENGINES PVT LTD,1,0,0,0,1,0,1,0,0,0,0,0
Uttar Pradesh,Kaushambi - UP73,L3P,DAKSH INDUSTRIES,8,9,5,4,3,7,3,3,3,18,20,15
Uttar Pradesh,Kaushambi - UP73,L3P,DILLI ELECTRIC AUTO PVT LTD,9,2,1,5,1,3,7,5,7,3,9,5
Uttar Pradesh,Kaushambi - UP73,L3P,DIVYA ENTERPRISES,0,0,0,2,2,2,4,1,10,9,4,3
Uttar Pradesh,Kaushambi - UP73,L3P,DUKE AUTO INDIA,8,1,1,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Kaushambi - UP73,L3P,E-ASHWA AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Kaushambi - UP73,L3P,EFEV CHARGING SOLUTION PVT LTD,0,0,0,0,0,0,0,0,0,0,0,2
Uttar Pradesh,Kaushambi - UP73,L3P,ENERGY ELECTRIC VEHICLES,4,5,1,1,0,2,1,2,11,0,1,12
Uttar Pradesh,Kaushambi - UP73,L3P,EVCO AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,6,1,5,2,4
Uttar Pradesh,Kaushambi - UP73,L3P,EXIDE INDUSTRIES LTD,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Kaushambi - UP73,L3P,EXTRA FAST SOLUTIONS,11,14,11,6,5,3,12,13,7,5,16,12
Uttar Pradesh,Kaushambi - UP73,L3P,EXTREME MOTORS,4,0,0,0,0,0,0,0,0,0,0,0
