State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,LAKHIMPUR KHERI - UP31,E2W,ATHER ENERGY LTD,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,E2W,BAJAJ AUTO LTD,0,0,0,0,0,1,1,3,8,12,18,21
Uttar Pradesh,LAKHIMPUR KHERI - UP31,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,0,0,0,1,0,0,0,2,0,0,1
Uttar Pradesh,LAKHIMPUR KHERI - UP31,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,E2W,HERO MOTOCORP LTD,0,0,0,0,0,0,7,6,7,13,26,2
Uttar Pradesh,LAKHIMPUR KHERI - UP31,E2W,OKAYA EV PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,19,13,23,14,27,33,24,23,16,36,11,6
Uttar Pradesh,LAKHIMPUR KHERI - UP31,E2W,PUR ENERGY PVT LTD,0,0,0,0,0,0,0,0,1,0,1,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,E2W,REVOLT INTELLICORP PVT LTD,0,0,0,0,1,0,2,1,1,0,3,2
Uttar Pradesh,LAKHIMPUR KHERI - UP31,E2W,TVS MOTOR COMPANY LTD,0,0,4,0,0,0,0,2,1,10,7,12
Uttar Pradesh,LAKHIMPUR KHERI - UP31,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,0,0,0,0,1,5,0,0,1
