State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,3S INDUSTRIES PRIVATE LIMITED,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,AJAY MOTORS PRIVATE LIMITED,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,ALLFINE INDUSTRIES PVT LTD,0,0,0,1,0,1,3,5,1,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,AVL ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,B24 ROKET EV,0,0,0,0,0,0,0,0,2,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,BRIGHT AUTOZONE PVT LTD,4,0,2,1,1,1,5,0,2,2,1,7
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,CHEHAK BATTERIES,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,DE EUSI MOTORS PVT LTD.,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,DILLI ELECTRIC AUTO PVT LTD,1,0,1,0,1,1,1,3,0,2,1,1
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,DIVYA ENTERPRISES,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,ENERGY ELECTRIC VEHICLES,4,0,0,3,1,0,1,0,2,0,1,1
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,GAYATRI ELECTRIC VEHICLES PVT LTD,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,GREENFIT INDUSTRIES LLP,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,HOTAGE INDIA,0,1,0,1,0,0,0,1,0,0,1,3
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,HUNDAL INDUSTRIES,0,0,1,1,3,0,1,1,0,1,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,INDIAN MOTORS,0,0,0,0,0,0,0,0,0,0,1,1
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,J. S. AUTO (P) LTD,3,3,6,7,10,7,6,4,5,10,5,4
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,LIONIZE AUTOMOBILE PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,MINI METRO EV L.L.P,1,0,2,0,2,1,0,1,0,1,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,0,1,0,1,0,0,0,0,0,0,1
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,RICHFORD ALLIANZ PVT LTD,0,0,0,0,0,0,0,5,0,1,3,3
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,SAHNIANAND E VEHICLES PVT LTD,0,0,0,0,0,1,0,1,0,1,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,0,0,1,1,2,1,0,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,SHRI BARSANA E-VEHICLES PVT LTD,2,1,6,4,2,3,3,2,1,1,5,3
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,SHRIRAJ ELECTRIC VEHICLES,1,0,6,5,4,1,1,0,0,1,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,SINGHAL ENTERPRISES,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,SKS TRADE INDIA PVT LTD,0,0,0,0,0,0,0,0,1,0,0,2
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,SPEEGO VEHICLES CO PVT LTD,2,0,3,2,0,0,1,0,0,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,SSEV ENTERPRISES PRIVATE LIMITED,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,SUPERTECH EV LIMITED,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,T U K INDUSTRIES,0,1,1,6,5,5,6,2,4,2,3,2
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,TWO FRIENDS AUTO ELECTRIC PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,UMA MOTORS,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,UNIQUE INTERNATIONAL,4,2,0,4,2,3,1,2,0,1,1,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,U.P. TELELINKS LIMITED,12,4,2,4,15,3,3,3,2,10,3,2
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,0,0,1,2,1,1,0,0,0,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,YC ELECTRIC VEHICLE,3,1,4,3,4,2,4,1,2,5,6,9
