State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,3S INDUSTRIES PRIVATE LIMITED,2,0,2,0,0,0,0,0,1,0,0,1
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,ACCRETION POWER AUTOS,3,0,0,0,0,3,0,0,2,2,1,1
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,AJAY MOTORS PRIVATE LIMITED,0,4,0,0,5,0,0,3,0,1,0,4
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,ALLFINE INDUSTRIES PVT LTD,8,13,5,15,13,9,13,22,9,5,12,6
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,AMBIKA INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,ANJALI AUTO COMPONENTS,1,4,0,0,0,0,0,7,2,3,3,2
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,APARNA INDUSTRIES,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,ARCHIT ENTERPRISES,0,0,0,0,0,0,8,19,6,2,4,2
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,AVL ELECTRIC VEHICLES PVT LTD,0,0,0,3,6,3,5,8,4,7,8,2
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,B24 ROKET EV,0,0,4,0,1,2,0,2,3,1,1,1
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,BAXY LTD,3,0,0,0,7,3,2,3,0,0,2,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,BHADAURIA ENTERPRISES,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,BRIGHT AUTOZONE PVT LTD,24,11,31,4,6,6,28,11,10,8,15,15
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,CEEON INDIA,1,0,0,0,0,0,0,4,0,0,2,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,CHAMPION POLY PLAST,3,1,2,0,4,3,3,3,1,2,0,1
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,CHEHAK BATTERIES,0,0,2,0,1,0,0,0,0,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,CONTINENTAL ENGINES PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,DAKSH INDUSTRIES,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,DE EUSI MOTORS PVT LTD.,0,0,0,0,0,2,0,3,0,0,1,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,DIAMOND E VEHICLES,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,DILLI ELECTRIC AUTO PVT LTD,0,1,2,4,7,3,7,5,4,4,11,6
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,DIVYA ENTERPRISES,0,0,0,0,0,0,0,0,0,0,0,2
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,DUKE AUTO INDIA,0,1,0,2,0,0,0,0,0,1,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,ENERGY ELECTRIC VEHICLES,5,4,5,7,14,15,7,5,2,4,3,2
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,EXIDE INDUSTRIES LTD,4,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,1,3,0,2,0,3,7,0,3,6,0,2
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,GRD MOTORS,0,1,1,0,1,0,0,1,1,0,1,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,GREENFIT INDUSTRIES LLP,0,7,1,2,0,0,1,0,1,1,2,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,HOTAGE INDIA,22,21,20,27,29,20,20,33,19,32,19,22
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,HUNDAL INDUSTRIES,3,11,7,12,14,11,14,28,10,4,11,1
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,INDIAN MOTORS,6,3,10,7,6,4,3,5,4,6,5,2
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,JITENDRA TEMPO PARTS,0,0,0,1,1,2,1,0,1,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,J. S. AUTO (P) LTD,1,1,4,5,11,9,11,9,7,8,5,3
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,KABMAX ELECTRIC AUTOMOBILES PVT. LTD,5,0,2,2,4,5,8,29,6,12,4,5
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,KAPTECH INDIA PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,KGN,9,5,7,7,6,13,7,8,4,5,0,5
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,KHALSAE-VEHICLES PVT LTD,0,2,3,0,0,1,2,12,4,3,3,5
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3P,KRISHNA ENGINEERING WORKS,0,1,0,2,0,0,0,0,0,0,0,2
