State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,LAKHIMPUR KHERI - UP31,E2W,BAJAJ AUTO LTD,8,14,10,10,15,4,2,63,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,7,1,0,0,0,0,8,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,E2W,HERO MOTOCORP LTD,0,2,17,7,10,10,0,46,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,E2W,OBEN ELECTRIC VEHICLES PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,20,6,19,13,11,15,0,84,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,E2W,PUR ENERGY PVT LTD,0,20,50,30,1,0,0,101,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,E2W,REVOLT INTELLICORP PVT LTD,1,1,0,1,1,0,0,4,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,E2W,TVS MOTOR COMPANY LTD,10,13,14,19,13,17,0,86,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,1,0,0,0,0,0,0,1,0,0,0
