State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,AJAY MOTORS PRIVATE LIMITED,0,1,0,1,0,0,0,2,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,AVL ELECTRIC VEHICLES PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,B24 ROKET EV,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,BAXY LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,BRIGHT AUTOZONE PVT LTD,3,3,0,1,1,3,0,11,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,DE EUSI MOTORS PVT LTD.,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,DILLI ELECTRIC AUTO PVT LTD,1,0,1,0,1,1,0,4,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,DIVYA ENTERPRISES,0,0,0,0,0,2,0,2,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,ELITE AUTO ENGINEERS PVT LTD,0,0,1,1,0,0,0,2,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,HOTAGE INDIA,1,0,1,1,1,2,0,6,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,HUNDAL INDUSTRIES,4,0,0,0,0,0,0,4,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,INDIAN MOTORS,0,1,0,0,2,1,0,4,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,JITENDRA TEMPO PARTS,1,0,0,0,1,0,0,2,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,J. S. AUTO (P) LTD,7,17,6,8,10,11,0,59,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,KRISHNA ENGINEERING WORKS,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,MAA SHAKTI EXIM PVT LTD,0,0,0,0,0,2,0,2,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,RICHFORD ALLIANZ PVT LTD,3,2,0,3,4,2,0,14,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,SAERA ELECTRIC AUTO PVT LTD,0,1,1,0,2,0,0,4,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,SAHNIANAND E VEHICLES PVT LTD,2,0,0,1,1,1,0,5,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,SHRI BARSANA E-VEHICLES PVT LTD,1,5,3,4,2,4,0,19,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,SKS TRADE INDIA PVT LTD,0,1,1,0,0,0,0,2,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,SPEEGO VEHICLES CO PVT LTD,1,0,1,0,0,0,0,2,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,SSEV ENTERPRISES PRIVATE LIMITED,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,SUPERTECH EV LIMITED,0,1,0,1,0,0,0,2,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,T U K INDUSTRIES,2,4,3,9,9,2,0,29,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,TWO FRIENDS AUTO ELECTRIC PVT LTD,1,0,1,0,0,0,0,2,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,UNIQUE INTERNATIONAL,3,1,1,1,2,1,0,9,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,U.P. TELELINKS LIMITED,7,1,2,7,4,3,0,24,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,0,0,0,0,0,2,0,2,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,YC ELECTRIC VEHICLE,8,2,6,4,9,5,1,35,0,0,0
Uttar Pradesh,LAKHIMPUR KHERI - UP31,L3G,ZEOPLUS AXIS INDIA PVT. LTD.,0,0,1,0,0,0,0,1,0,0,0
