State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Lalitpur - UP94,L3G,AERODRIVE PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Lalitpur - UP94,L3G,AMBIKA INDUSTRIES,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3G,A P I MOTORS PVT LTD,0,0,0,0,0,0,0,0,0,0,0,2
Uttar Pradesh,Lalitpur - UP94,L3G,ARCHIT ENTERPRISES,1,1,0,0,2,0,0,0,0,0,1,0
Uttar Pradesh,Lalitpur - UP94,L3G,BEST WAY AGENCIES PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3G,DILLI ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Lalitpur - UP94,L3G,J. S. AUTO (P) LTD,3,1,0,0,0,0,0,0,0,1,2,1
Uttar Pradesh,Lalitpur - UP94,L3G,LECTRIX E VEHICLES PVT LTD,0,0,0,0,0,0,0,1,1,0,0,1
Uttar Pradesh,Lalitpur - UP94,L3G,SAERA ELECTRIC AUTO PVT LTD,0,0,0,0,1,0,2,0,0,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3G,SHRI BARSANA E-VEHICLES PVT LTD,3,3,3,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3G,SPEEGO VEHICLES CO PVT LTD,4,1,2,0,2,0,4,0,0,0,2,0
Uttar Pradesh,Lalitpur - UP94,L3G,SUPERTECH EV LIMITED,0,0,0,0,0,5,4,7,11,6,0,16
Uttar Pradesh,Lalitpur - UP94,L3G,UNIQUE INTERNATIONAL,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3G,YC ELECTRIC VEHICLE,0,0,0,0,0,0,0,0,0,0,0,1
