State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Lalitpur - UP94,L3P,AMBIKA INDUSTRIES,1,3,1,2,0,1,0,8,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,ARCHIT ENTERPRISES,4,0,0,5,0,0,0,9,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,ATUL AUTO LTD,4,0,0,3,0,3,0,10,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,CHAMPION POLY PLAST,0,1,4,0,0,0,0,5,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,DILLI ELECTRIC AUTO PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,ENERGY ELECTRIC VEHICLES,4,1,4,3,1,0,0,13,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,1,0,2,0,0,0,0,3,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,HOTAGE INDIA,0,1,0,5,0,3,0,9,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,J. S. AUTO (P) LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,KHALSAE-VEHICLES PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,3,4,1,2,1,0,11,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,KUKU AUTOMOTIVES,0,0,0,1,2,0,0,3,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,LECTRIX E VEHICLES PVT LTD,2,3,2,5,3,3,0,18,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,LOHIA AUTO INDUSTRIES,2,0,0,0,1,0,0,3,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,MAHINDRA LAST MILE MOBILITY LTD,1,1,1,0,0,0,0,3,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,M/S SHRIRAM AUTO TECH PVT LTD,0,1,0,1,3,2,0,7,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,SAERA ELECTRIC AUTO PVT LTD,2,1,4,1,4,0,0,12,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,2,1,1,0,0,0,4,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,SETH INDUSTRIAL CORPORATION,0,0,1,0,0,2,0,3,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,SHRI BARSANA E-VEHICLES PVT LTD,2,0,0,0,0,0,0,2,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,SKS TRADE INDIA PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,SPEEGO VEHICLES CO PVT LTD,0,2,1,1,0,0,0,4,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,STAR IGLOBAL AUTOMOTIVE PVT LTD,0,11,4,0,0,1,0,16,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,SUPERTECH EV LIMITED,3,2,0,1,6,0,0,12,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,THUKRAL ELECTRIC BIKES PVT LTD,0,1,0,4,2,2,0,9,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,YC ELECTRIC VEHICLE,0,2,1,0,0,0,0,3,0,0,0
Uttar Pradesh,Lalitpur - UP94,L3P,ZENTHIUM EV PVT LTD,4,3,1,0,0,5,0,13,0,0,0
