State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,MAHANAGAR ARTO LUCKNOW (UP321) - UP321,ICE,BAJAJ AUTO LTD,65,73,52,65,105,46,55,46,29,52,461,151
Uttar Pradesh,MAHANAGAR ARTO LUCKNOW (UP321) - UP321,ICE,BMW INDIA PVT LTD,1,1,0,2,0,1,0,2,1,0,0,0
Uttar Pradesh,MAHANAGAR ARTO LUCKNOW (UP321) - UP321,ICE,CLASSIC LEGENDS PVT LTD,39,30,31,19,23,17,10,24,15,18,54,42
Uttar Pradesh,MAHANAGAR ARTO LUCKNOW (UP321) - UP321,ICE,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),1,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,MAHANAGAR ARTO LUCKNOW (UP321) - UP321,ICE,HERO MOTOCORP LTD,322,389,236,315,265,202,166,90,44,415,"2,518",469
Uttar Pradesh,MAHANAGAR ARTO LUCKNOW (UP321) - UP321,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,904,672,"1,079","1,192","1,262","1,035","1,261","1,180","1,003","1,205","2,929","1,070"
Uttar Pradesh,MAHANAGAR ARTO LUCKNOW (UP321) - UP321,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,1,3,0,0,0,0,1,0,0,0,1
Uttar Pradesh,MAHANAGAR ARTO LUCKNOW (UP321) - UP321,ICE,INDIA YAMAHA MOTOR PVT LTD,106,117,108,84,91,50,71,51,65,64,212,123
Uttar Pradesh,MAHANAGAR ARTO LUCKNOW (UP321) - UP321,ICE,PIAGGIO VEHICLES PVT LTD,0,0,0,0,1,0,0,0,0,0,0,2
Uttar Pradesh,MAHANAGAR ARTO LUCKNOW (UP321) - UP321,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),57,65,112,149,152,156,102,173,53,129,507,160
Uttar Pradesh,MAHANAGAR ARTO LUCKNOW (UP321) - UP321,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,35,32,28,44,28,18,28,5,4,3,102,7
Uttar Pradesh,MAHANAGAR ARTO LUCKNOW (UP321) - UP321,ICE,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,0,0,2,0,1,0,0,0,0,0,1,0
Uttar Pradesh,MAHANAGAR ARTO LUCKNOW (UP321) - UP321,ICE,TVS MOTOR COMPANY LTD,450,441,692,775,625,559,560,327,109,335,"2,036",543
