State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,MATHURA - UP85,L5P,BAJAJ AUTO LTD,0,8,20,6,11,3,6,15,15,35,9,3
Uttar Pradesh,MATHURA - UP85,L5P,BAXY LTD,0,0,0,0,1,2,0,0,1,0,0,0
Uttar Pradesh,MATHURA - UP85,L5P,EVCO AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,0,0,4,0
Uttar Pradesh,MATHURA - UP85,L5P,MAHINDRA LAST MILE MOBILITY LTD,0,23,40,27,44,47,74,72,48,74,87,75
Uttar Pradesh,MATHURA - UP85,L5P,MAHINDRA & MAHINDRA LIMITED,0,7,1,3,2,1,0,1,0,0,2,1
Uttar Pradesh,MATHURA - UP85,L5P,MLR AUTO LTD,0,0,0,0,0,5,5,3,5,3,2,2
Uttar Pradesh,MATHURA - UP85,L5P,OMEGA SEIKI PVT LTD,0,0,0,0,0,0,7,0,1,0,0,1
Uttar Pradesh,MATHURA - UP85,L5P,PIAGGIO VEHICLES PVT LTD,0,29,57,21,52,36,71,51,54,72,100,72
Uttar Pradesh,MATHURA - UP85,L5P,RASANDIK ENGINEERING INDUSTRIES INDIA LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,MATHURA - UP85,L5P,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,0,6,11,8,3,2,5,4
Uttar Pradesh,MATHURA - UP85,L5P,TI CLEAN MOBILITY PVT LTD,0,0,0,0,2,0,5,5,7,7,4,2
Uttar Pradesh,MATHURA - UP85,L5P,TVS MOTOR COMPANY LTD,0,0,0,0,0,0,6,1,2,4,9,3
Uttar Pradesh,MATHURA - UP85,L5P,VICTORY ELECTRIC INTERNATIONAL,0,0,0,0,0,0,0,0,0,2,0,0
