State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,MATHURA - UP85,E2W,ATHER ENERGY LTD,7,3,10,22,12,16,1,71,0,0,0
Uttar Pradesh,MATHURA - UP85,E2W,BAJAJ AUTO LTD,23,14,30,35,33,34,1,170,0,0,0
Uttar Pradesh,MATHURA - UP85,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,MATHURA - UP85,E2W,ESSEL ENERGY INFRA PVT LTD,0,0,3,0,0,0,0,3,0,0,0
Uttar Pradesh,MATHURA - UP85,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,3,12,5,4,4,0,28,0,0,0
Uttar Pradesh,MATHURA - UP85,E2W,HERO MOTOCORP LTD,7,8,31,21,23,25,1,116,0,0,0
Uttar Pradesh,MATHURA - UP85,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,2,0,5,0,1,2,0,10,0,0,0
Uttar Pradesh,MATHURA - UP85,E2W,LECTRIX E VEHICLES PVT LTD,2,1,2,0,2,0,0,7,0,0,0
Uttar Pradesh,MATHURA - UP85,E2W,OKAYA EV PVT LTD,2,0,0,0,0,0,0,2,0,0,0
Uttar Pradesh,MATHURA - UP85,E2W,OKINAWA AUTOTECH PVT LTD,0,0,1,1,0,0,0,2,0,0,0
Uttar Pradesh,MATHURA - UP85,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,28,7,30,20,19,21,1,126,0,0,0
Uttar Pradesh,MATHURA - UP85,E2W,PUR ENERGY PVT LTD,0,10,20,0,0,0,0,30,0,0,0
Uttar Pradesh,MATHURA - UP85,E2W,QUANTUM ENERGY LTD.,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,MATHURA - UP85,E2W,REVOLT INTELLICORP PVT LTD,4,3,4,2,0,2,0,15,0,0,0
Uttar Pradesh,MATHURA - UP85,E2W,TVS MOTOR COMPANY LTD,99,81,154,82,120,138,1,675,0,0,0
Uttar Pradesh,MATHURA - UP85,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,2,0,2,1,0,4,0,9,0,0,0
Uttar Pradesh,MATHURA - UP85,E2W,WARIVO MOTOR INDIA PVT LTD,3,3,0,0,1,0,0,7,0,0,0
