State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,MATHURA - UP85,ICE,BAJAJ AUTO LTD,523,477,353,485,402,287,18,"2,545",0,0,0
Uttar Pradesh,MATHURA - UP85,ICE,BMW INDIA PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,MATHURA - UP85,ICE,CLASSIC LEGENDS PVT LTD,1,2,2,5,4,2,0,16,0,0,0
Uttar Pradesh,MATHURA - UP85,ICE,HERO MOTOCORP LTD,"1,885","1,881","1,496","2,027","1,683","1,453",86,"10,511",0,0,0
Uttar Pradesh,MATHURA - UP85,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,605,559,579,698,743,571,58,"3,813",0,0,0
Uttar Pradesh,MATHURA - UP85,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,MATHURA - UP85,ICE,INDIA YAMAHA MOTOR PVT LTD,20,21,26,22,25,19,2,135,0,0,0
Uttar Pradesh,MATHURA - UP85,ICE,PIAGGIO VEHICLES PVT LTD,1,0,1,0,0,0,0,2,0,0,0
Uttar Pradesh,MATHURA - UP85,ICE,QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO),0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,MATHURA - UP85,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),291,278,223,316,226,171,12,"1,517",0,0,0
Uttar Pradesh,MATHURA - UP85,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,43,34,41,57,35,31,2,243,0,0,0
Uttar Pradesh,MATHURA - UP85,ICE,TVS MOTOR COMPANY LTD,566,555,435,565,560,498,43,"3,222",0,0,0
