State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,MATHURA - UP85,L3P,3S INDUSTRIES PRIVATE LIMITED,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,MATHURA - UP85,L3P,ADM TECHNOLOGIES PVT. LTD.,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,MATHURA - UP85,L3P,AERODRIVE PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,MATHURA - UP85,L3P,AFKON AUTOMOTIVES PVT LTD,11,19,12,26,15,7,0,90,0,0,0
Uttar Pradesh,MATHURA - UP85,L3P,AKG INTERNATIONAL,0,0,4,5,1,2,0,12,0,0,0
Uttar Pradesh,MATHURA - UP85,L3P,ALLFINE INDUSTRIES PVT LTD,1,0,0,3,6,4,0,14,0,0,0
Uttar Pradesh,MATHURA - UP85,L3P,AMAN ELECTRIC VEHICLES,0,2,5,6,18,15,0,46,0,0,0
Uttar Pradesh,MATHURA - UP85,L3P,ATUT SANGAM,9,5,13,5,7,5,1,45,0,0,0
Uttar Pradesh,MATHURA - UP85,L3P,A.V.AUTOMOTIVES PVT LTD,0,0,0,0,2,10,1,13,0,0,0
Uttar Pradesh,MATHURA - UP85,L3P,AVL ELECTRIC VEHICLES PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,MATHURA - UP85,L3P,BAJAJ IMPLEMENTS PVT. LTD,8,10,9,1,8,9,0,45,0,0,0
Uttar Pradesh,MATHURA - UP85,L3P,BAXY LTD,0,5,6,5,6,3,0,25,0,0,0
Uttar Pradesh,MATHURA - UP85,L3P,BEST WAY AGENCIES PVT LTD,25,20,19,21,27,15,0,127,0,0,0
Uttar Pradesh,MATHURA - UP85,L3P,BHAVE ELECTRIC VEHICLES PVT LTD,2,2,2,2,1,1,0,10,0,0,0
Uttar Pradesh,MATHURA - UP85,L3P,CARREE YUNUS VEHICLE PVT LTD,0,0,0,5,11,1,0,17,0,0,0
Uttar Pradesh,MATHURA - UP85,L3P,CHAMPION POLY PLAST,8,3,6,5,2,2,0,26,0,0,0
Uttar Pradesh,MATHURA - UP85,L3P,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,0,4,0,1,0,0,5,0,0,0
Uttar Pradesh,MATHURA - UP85,L3P,CONTINENTAL ENGINES PVT LTD,0,0,0,5,0,0,0,5,0,0,0
Uttar Pradesh,MATHURA - UP85,L3P,DAKSH INDUSTRIES,6,8,8,10,16,13,1,62,0,0,0
Uttar Pradesh,MATHURA - UP85,L3P,DE EUSI MOTORS PVT LTD.,3,1,0,1,0,0,0,5,0,0,0
