State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,MEERUT RTO - UP15,ICE,BAJAJ AUTO LTD,324,293,209,314,257,184,251,211,158,295,499,156
Uttar Pradesh,MEERUT RTO - UP15,ICE,BMW INDIA PVT LTD,1,2,0,0,3,2,5,1,0,1,0,3
Uttar Pradesh,MEERUT RTO - UP15,ICE,CLASSIC LEGENDS PVT LTD,16,11,10,11,6,3,13,8,5,12,23,3
Uttar Pradesh,MEERUT RTO - UP15,ICE,HERO MOTOCORP LTD,"2,177","1,855","2,022","2,167","2,116","1,848","1,740","1,670","1,245","2,481","3,812","1,982"
Uttar Pradesh,MEERUT RTO - UP15,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,"1,261",956,"1,107","1,455","1,342","1,104","1,199","1,021",880,"1,619","2,479",680
Uttar Pradesh,MEERUT RTO - UP15,ICE,INDIA KAWASAKI MOTORS PVT LTD,3,2,4,2,0,0,1,1,0,2,1,0
Uttar Pradesh,MEERUT RTO - UP15,ICE,INDIA YAMAHA MOTOR PVT LTD,77,86,66,104,76,58,58,60,54,96,96,48
Uttar Pradesh,MEERUT RTO - UP15,ICE,PIAGGIO VEHICLES PVT LTD,1,1,2,1,3,3,3,3,1,2,0,0
Uttar Pradesh,MEERUT RTO - UP15,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),286,318,208,333,250,176,194,177,147,428,581,205
Uttar Pradesh,MEERUT RTO - UP15,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,157,105,110,188,145,119,108,123,115,172,184,66
Uttar Pradesh,MEERUT RTO - UP15,ICE,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,ICE,TVS MOTOR COMPANY LTD,759,725,667,910,805,706,686,579,534,"1,030","1,360",430
Uttar Pradesh,MEERUT RTO - UP15,ICE,ZHEJIANG CHANGLING (IMPORTER: ADISHWAR AUTO),0,0,0,0,0,1,0,0,0,0,1,0
Uttar Pradesh,MEERUT RTO - UP15,ICE,ZHEJIANG QIANJIANG (IMPORTER: ADISHWAR AUTO),0,0,0,0,0,0,0,0,0,1,0,0
