State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,MEERUT RTO - UP15,L3G,AKG INTERNATIONAL,0,2,0,1,1,2,1,0,2,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,L3G,A.R. MOTOR,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,MEERUT RTO - UP15,L3G,ATTOLENT AUTO GROUP PVT LTD,0,0,1,2,0,1,3,0,3,2,0,0
Uttar Pradesh,MEERUT RTO - UP15,L3G,BABA E-VEHICLES,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,L3G,BHAVE ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,L3G,BOSS ENTERPRISES,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,MEERUT RTO - UP15,L3G,DEV MOTORS,0,0,0,0,0,0,0,0,0,1,0,1
Uttar Pradesh,MEERUT RTO - UP15,L3G,DILLI ELECTRIC AUTO PVT LTD,0,0,2,0,3,0,0,0,1,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,L3G,E-MOTION AUTOMOTIVE INDUSTRY LLP,0,1,1,1,0,1,0,2,0,2,0,0
Uttar Pradesh,MEERUT RTO - UP15,L3G,HOTAGE INDIA,4,4,4,8,5,3,2,2,4,5,11,3
Uttar Pradesh,MEERUT RTO - UP15,L3G,KABMAX ELECTRIC AUTOMOBILES PVT. LTD,1,0,2,2,2,0,3,0,0,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,L3G,KAPTECH INDIA PVT LTD,0,0,0,0,0,0,0,1,2,0,1,0
Uttar Pradesh,MEERUT RTO - UP15,L3G,KHALSAE-VEHICLES PVT LTD,5,3,4,1,1,1,1,4,1,6,12,6
Uttar Pradesh,MEERUT RTO - UP15,L3G,LECTRIX E VEHICLES PVT LTD,0,0,1,0,1,0,0,0,0,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,L3G,MANITA CITY MOTORS LLP,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,L3G,MINI METRO EV L.L.P,9,59,15,8,11,9,13,10,10,25,13,4
Uttar Pradesh,MEERUT RTO - UP15,L3G,M/S SHRIRAM AUTO TECH PVT LTD,0,0,0,0,0,0,0,2,0,0,1,0
Uttar Pradesh,MEERUT RTO - UP15,L3G,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,1,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,L3G,NAMAH INDUSTRIES PVT LTD,0,1,2,1,5,8,4,5,7,9,13,6
Uttar Pradesh,MEERUT RTO - UP15,L3G,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,L3G,PARAS INDUSTRIES,0,0,0,1,0,0,0,1,0,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,L3G,SAERA ELECTRIC AUTO PVT LTD,0,0,0,3,1,0,1,1,2,7,1,1
Uttar Pradesh,MEERUT RTO - UP15,L3G,SAHNIANAND E VEHICLES PVT LTD,0,0,3,2,1,3,1,3,3,1,1,0
Uttar Pradesh,MEERUT RTO - UP15,L3G,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,0,0,4,7,4,5,2,11,3,9
Uttar Pradesh,MEERUT RTO - UP15,L3G,SHRI BARSANA E-VEHICLES PVT LTD,1,1,1,1,1,2,3,0,2,3,1,0
Uttar Pradesh,MEERUT RTO - UP15,L3G,SINGHAL ENTERPRISES,1,1,0,1,0,0,1,1,0,0,2,1
Uttar Pradesh,MEERUT RTO - UP15,L3G,SKS TRADE INDIA PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,L3G,SUPERTECH EV LIMITED,0,0,0,0,0,0,2,0,0,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,L3G,THUKRAL ELECTRIC BIKES PVT LTD,0,1,5,0,5,1,3,5,3,7,3,2
Uttar Pradesh,MEERUT RTO - UP15,L3G,TWO FRIENDS AUTO ELECTRIC PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,MEERUT RTO - UP15,L3G,UNIQUE AUTO ELECTRIC,0,0,0,0,0,0,2,1,2,0,1,2
Uttar Pradesh,MEERUT RTO - UP15,L3G,UNIQUE ENTERPRISES,0,0,2,0,0,1,0,0,2,1,2,0
Uttar Pradesh,MEERUT RTO - UP15,L3G,UNIQUE INTERNATIONAL,3,7,5,5,4,3,4,3,3,16,9,3
Uttar Pradesh,MEERUT RTO - UP15,L3G,U.P. TELELINKS LIMITED,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,L3G,VIMAL UNIVERSAL TRADE PVT LTD,0,3,1,0,0,1,2,2,2,7,1,4
Uttar Pradesh,MEERUT RTO - UP15,L3G,YC ELECTRIC VEHICLE,0,0,0,1,1,1,3,1,0,1,0,0
