State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,MEERUT RTO - UP15,E2W,ATHER ENERGY LTD,4,4,3,7,10,21,2,51,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,E2W,BAJAJ AUTO LTD,223,199,329,167,215,165,14,"1,312",0,0,0
Uttar Pradesh,MEERUT RTO - UP15,E2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,2,1,0,3,2,1,0,9,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,E2W,GOREEN E-MOBILITY PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,1,0,0,0,2,0,3,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,E2W,HERO MOTOCORP LTD,5,12,45,22,43,57,0,184,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,E2W,KLB KOMAKI PVT LTD,1,0,0,0,1,0,0,2,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,E2W,OBEN ELECTRIC VEHICLES PVT LTD,0,0,0,2,1,0,0,3,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,58,12,55,43,43,41,1,253,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,E2W,PUR ENERGY PVT LTD,0,10,30,30,0,30,0,100,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,E2W,REVOLT INTELLICORP PVT LTD,5,3,3,0,2,5,0,18,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,E2W,SOKUDO ELECTRIC INDIA PVT LTD,0,0,0,0,3,0,0,3,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,E2W,TVS MOTOR COMPANY LTD,177,111,231,108,169,151,1,948,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,1,3,0,2,0,0,0,6,0,0,0
Uttar Pradesh,MEERUT RTO - UP15,E2W,WARIVO MOTOR INDIA PVT LTD,0,0,0,1,3,1,0,5,0,0,0
