State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,ALTIUS EV TECH PVT LTD,2,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,ATHER ENERGY LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,BAJAJ AUTO LTD,0,1,0,1,1,1,2,5,6,10,27,15
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,BOUNCE ELECTRIC 1 PVT LTD,0,0,0,0,0,0,1,1,0,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,EVTRIC MOTORS PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,HERO ELECTRIC VEHICLES PVT. LTD,5,0,0,0,0,0,3,3,2,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,HERO MOTOCORP LTD,0,0,0,0,0,0,0,0,1,8,12,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,HOP ELECTRIC MOBILITY PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,IVOOMI INNOVATION PVT LTD,0,0,0,0,0,0,0,0,0,0,1,1
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,1,0,0,0,0,0,0,2,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,KLB KOMAKI PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,LECTRIX E VEHICLES PVT LTD,0,0,0,0,1,0,1,0,0,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,OKAYA EV PVT LTD,1,0,8,1,3,6,0,5,1,2,4,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,OKINAWA AUTOTECH PVT LTD,0,3,0,0,0,3,1,0,0,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,33,44,57,54,63,57,56,32,28,82,45,23
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,PUR ENERGY PVT LTD,0,0,1,0,0,0,0,0,1,0,1,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,REVOLT INTELLICORP PVT LTD,0,0,0,0,0,0,0,0,0,0,1,1
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,THUKRAL ELECTRIC BIKES PVT LTD,0,1,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,TVS MOTOR COMPANY LTD,6,9,19,1,5,9,15,23,15,29,43,32
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,16,6,2,1,11,7,5,4,2,5,5,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),0,0,0,0,0,0,1,0,0,0,0,4
