State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,ADM TECHNOLOGIES PVT. LTD.,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,ALLFINE INDUSTRIES PVT LTD,0,0,1,0,0,0,0,1,0,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,ATUT SANGAM,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,BAXY LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,BRIGHT AUTOZONE PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,CONTINENTAL ENGINES PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,DELTA AUTOCORP LTD,0,0,2,2,0,1,1,0,0,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,DILLI ELECTRIC AUTO PVT LTD,0,0,0,0,2,1,0,0,0,1,1,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,DUKE AUTO INDIA,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,ENERGY ELECTRIC VEHICLES,0,0,3,3,0,1,1,2,3,3,3,2
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,INS AUTOMOBILES PVT LTD,0,0,0,0,0,2,0,0,0,0,0,2
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,J. S. AUTO (P) LTD,1,3,0,1,3,1,0,1,1,4,1,5
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,KHALSAE-VEHICLES PVT LTD,0,0,0,0,1,1,0,3,0,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,LECTRIX E VEHICLES PVT LTD,0,1,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,LOHIA AUTO INDUSTRIES,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,MAA SHAKTI EXIM PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,MAHINDRA LAST MILE MOBILITY LTD,0,0,1,1,0,0,1,0,0,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,MINI METRO EV L.L.P,0,0,0,1,2,0,0,0,0,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,REFLEX CONTROL SYSTEM PVT .LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,SAERA ELECTRIC AUTO PVT LTD,0,2,1,3,2,0,0,1,1,2,4,2
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,0,2,0,0,0,1,1,0,0,0,1
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,THUKRAL ELECTRIC BIKES PVT LTD,0,1,2,2,0,2,2,2,0,3,1,2
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,T U K INDUSTRIES,0,0,0,0,2,0,0,0,0,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,UNIQUE ENTERPRISES,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,UNIQUE INTERNATIONAL,1,1,0,0,0,2,0,0,0,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,U.P. TELELINKS LIMITED,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,VICTORY ELECTRIC INTERNATIONAL,0,1,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,0,0,0,0,0,0,0,1,0,1,0,2
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,YC ELECTRIC VEHICLE,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3G,ZEOPLUS AXIS INDIA PVT. LTD.,0,0,0,0,0,0,0,0,0,0,1,1
