State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,ATHER ENERGY LTD,0,0,0,0,1,1,0,2,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,BAJAJ AUTO LTD,16,12,12,5,14,6,0,65,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,ENGTIAN ELECTRIC BIKE PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,0,3,3,1,3,0,10,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,2,0,0,0,0,2,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,HERO MOTOCORP LTD,0,1,6,0,6,1,0,14,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,IVOOMI INNOVATION PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,1,1,2,0,2,0,0,6,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,KLB KOMAKI PVT LTD,0,0,1,1,1,0,0,3,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,OKAYA EV PVT LTD,0,0,0,3,1,1,0,5,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,43,25,34,24,43,32,2,203,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,PUR ENERGY PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,THUKRAL ELECTRIC BIKES PVT LTD,2,1,0,0,0,0,0,3,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,TVS MOTOR COMPANY LTD,26,17,35,29,26,27,0,160,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,6,2,2,0,0,2,0,12,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP),0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,E2W,YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),0,0,1,0,0,0,0,1,0,0,0
