State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,ADM TECHNOLOGIES PVT. LTD.,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,AFKON AUTOMOTIVES PVT LTD,1,0,1,0,0,2,0,4,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,ALLFINE INDUSTRIES PVT LTD,3,0,1,4,2,5,0,15,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,3,0,3,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,ATUL AUTO LTD,0,2,1,0,0,1,0,4,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,AVL ELECTRIC VEHICLES PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,AVON CYCLES LTD,0,4,3,0,0,0,0,7,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,B24 ROKET EV,0,0,0,3,1,3,0,7,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,BAXY LTD,0,0,1,1,0,0,0,2,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,BEST WAY AGENCIES PVT LTD,6,2,1,2,6,1,0,18,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,BHM INDUSTRIES,0,0,0,1,1,3,0,5,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,BSERAIL ENGINEERING PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,CHAMPION POLY PLAST,0,0,0,2,1,1,0,4,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,DAKSH INDUSTRIES,3,5,3,1,1,0,0,13,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,DELTA AUTOCORP LTD,0,0,0,0,2,1,0,3,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,DILLI ELECTRIC AUTO PVT LTD,1,3,0,2,0,1,0,7,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,DUKE AUTO INDIA,1,0,2,1,0,2,0,6,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,EFEV CHARGING SOLUTION PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,ENERGY ELECTRIC VEHICLES,8,5,1,5,6,11,0,36,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,FIRST CHOICE ELECTRIC VEHICLES PVT LTD,1,0,4,0,1,0,0,6,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,INS AUTOMOBILES PVT LTD,9,4,5,5,2,2,0,27,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,INTERGLOBE ENERGY PVT LTD,4,2,8,8,2,4,1,29,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,J. S. AUTO (P) LTD,0,2,1,1,1,3,0,8,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,KGN,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,KHALSAE-VEHICLES PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,KRISHNA ENGINEERING WORKS,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,LECTRIX E VEHICLES PVT LTD,3,6,3,4,6,7,0,29,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,LOHIA AUTO INDUSTRIES,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,MAA SHAKTI EXIM PVT LTD,0,0,2,0,0,0,0,2,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,MAHINDRA LAST MILE MOBILITY LTD,1,2,4,2,3,0,0,12,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,MAHTAB BODY MAKER,2,0,3,4,0,0,0,9,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,MINI METRO EV L.L.P,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,M/S SHRIRAM AUTO TECH PVT LTD,0,0,0,1,0,1,0,2,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,NEW ARCANA INDIA,2,0,0,1,0,0,0,3,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,PARI METRO E RICKSHAW,0,1,1,0,0,1,0,3,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,RAYON ENGINEERS,0,0,0,1,0,1,0,2,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,REFLEX CONTROL SYSTEM PVT .LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,SAERA ELECTRIC AUTO PVT LTD,7,4,3,3,4,2,0,23,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,1,1,1,0,2,1,0,6,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,SHAILENDRA AUTOS PVT LTD,0,0,0,0,1,2,0,3,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,SHRI BARSANA E-VEHICLES PVT LTD,1,1,0,0,0,1,0,3,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,SPEEGO VEHICLES CO PVT LTD,4,2,4,3,4,2,0,19,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,SUPER POWER MOTORS,0,0,0,1,0,4,0,5,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,THUKRAL ELECTRIC BIKES PVT LTD,7,7,5,12,2,5,0,38,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,T U K INDUSTRIES,0,1,1,0,0,0,0,2,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,UNIQUE INTERNATIONAL,10,1,3,15,7,3,0,39,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,U.P. TELELINKS LIMITED,0,2,0,0,0,0,0,2,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,VICTORY ELECTRIC INTERNATIONAL,7,0,1,2,0,1,0,11,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,1,0,0,1,0,4,0,6,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,YC ELECTRIC VEHICLE,3,2,1,1,0,2,0,9,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,ZENIAK INNOVATION INDIA LTD,2,2,1,1,1,0,0,7,0,0,0
Uttar Pradesh,MIRZAPUR RTO - UP63,L3P,ZEOPLUS AXIS INDIA PVT. LTD.,23,12,14,25,15,18,1,108,0,0,0
