State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,MORADABAD - UP21,E2W,ATHER ENERGY LTD,0,1,0,0,0,0,0,0,1,0,0,1
Uttar Pradesh,MORADABAD - UP21,E2W,BAJAJ AUTO LTD,0,0,1,1,1,0,0,7,16,31,31,23
Uttar Pradesh,MORADABAD - UP21,E2W,BOUNCE ELECTRIC 1 PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,MORADABAD - UP21,E2W,EVTRIC MOTORS PVT LTD,1,1,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,MORADABAD - UP21,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,5,0,0,0,0,16,0,0,0,0,1
Uttar Pradesh,MORADABAD - UP21,E2W,HERO MOTOCORP LTD,0,0,0,0,0,0,9,5,2,20,27,0
Uttar Pradesh,MORADABAD - UP21,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,1,0,0,0,0,4,0,0,0,0
Uttar Pradesh,MORADABAD - UP21,E2W,KLB KOMAKI PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,MORADABAD - UP21,E2W,OKAYA EV PVT LTD,0,0,1,0,0,1,0,0,0,0,1,0
Uttar Pradesh,MORADABAD - UP21,E2W,OKINAWA AUTOTECH PVT LTD,2,0,0,3,0,0,0,0,0,0,0,0
Uttar Pradesh,MORADABAD - UP21,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,65,64,86,61,70,73,77,61,33,55,43,12
Uttar Pradesh,MORADABAD - UP21,E2W,PUR ENERGY PVT LTD,2,2,1,1,0,1,1,0,1,0,2,1
Uttar Pradesh,MORADABAD - UP21,E2W,REVOLT INTELLICORP PVT LTD,0,0,4,2,1,0,1,1,0,0,2,1
Uttar Pradesh,MORADABAD - UP21,E2W,TVS MOTOR COMPANY LTD,2,13,15,4,6,10,21,12,10,25,32,24
Uttar Pradesh,MORADABAD - UP21,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,0,0,0,0,0,5,5,0,8,7
Uttar Pradesh,MORADABAD - UP21,E2W,YANGGUANG LINGMU (IMPORTER: REMARK ELECTRIC),0,0,1,0,0,0,0,0,0,0,0,0
