State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,MORADABAD - UP21,ICE,BAJAJ AUTO LTD,226,216,192,275,231,184,169,191,131,220,371,143
Uttar Pradesh,MORADABAD - UP21,ICE,BMW INDIA PVT LTD,1,0,0,0,2,1,0,0,1,1,0,0
Uttar Pradesh,MORADABAD - UP21,ICE,CLASSIC LEGENDS PVT LTD,14,9,13,17,8,5,6,3,6,13,12,6
Uttar Pradesh,MORADABAD - UP21,ICE,DUCATI INDIA PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,MORADABAD - UP21,ICE,HERO MOTOCORP LTD,"1,509","1,983","2,339","2,706","2,555","2,078","2,104","1,430","1,340","2,115","3,908","1,401"
Uttar Pradesh,MORADABAD - UP21,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,457,513,334,479,488,408,432,427,408,522,818,550
Uttar Pradesh,MORADABAD - UP21,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,0,2,1,0,0,0,0,1,0,0,0
Uttar Pradesh,MORADABAD - UP21,ICE,INDIA YAMAHA MOTOR PVT LTD,64,49,32,33,62,36,34,45,20,37,54,29
Uttar Pradesh,MORADABAD - UP21,ICE,PIAGGIO VEHICLES PVT LTD,1,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,MORADABAD - UP21,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),185,209,180,222,142,196,118,110,104,229,300,154
Uttar Pradesh,MORADABAD - UP21,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,121,129,124,182,209,118,106,123,86,141,179,82
Uttar Pradesh,MORADABAD - UP21,ICE,TVS MOTOR COMPANY LTD,474,656,462,741,680,568,561,434,385,640,"1,252",540
