State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,MORADABAD - UP21,L3P,3S INDUSTRIES PRIVATE LIMITED,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,MORADABAD - UP21,L3P,AKG INTERNATIONAL,8,16,22,16,28,19,19,18,15,12,12,12
Uttar Pradesh,MORADABAD - UP21,L3P,ASHA IMPEX,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,MORADABAD - UP21,L3P,ATTOLENT AUTO GROUP PVT LTD,0,2,0,0,0,2,2,2,0,0,1,4
Uttar Pradesh,MORADABAD - UP21,L3P,A.V.AUTOMOTIVES PVT LTD,0,5,7,7,8,6,1,10,3,4,2,5
Uttar Pradesh,MORADABAD - UP21,L3P,BALI AUTO INDUSTRIES,0,0,3,0,0,0,0,0,0,0,0,0
Uttar Pradesh,MORADABAD - UP21,L3P,BRIGHT SAFAR,0,0,0,0,0,0,0,0,0,2,0,0
Uttar Pradesh,MORADABAD - UP21,L3P,CEEON INDIA,0,0,2,0,0,0,0,0,0,0,0,0
Uttar Pradesh,MORADABAD - UP21,L3P,CHAMPION POLY PLAST,0,0,0,0,0,0,0,0,0,0,8,1
Uttar Pradesh,MORADABAD - UP21,L3P,CHANDAKE-AUTOMOBILES LLP,0,0,3,1,1,2,0,3,2,6,3,3
Uttar Pradesh,MORADABAD - UP21,L3P,DAKSH INDUSTRIES,13,32,51,35,55,47,40,45,22,44,3,22
Uttar Pradesh,MORADABAD - UP21,L3P,DEV MOTORS,0,0,0,0,0,0,3,0,2,0,2,2
Uttar Pradesh,MORADABAD - UP21,L3P,DIAMOND E VEHICLES,2,3,1,1,1,1,0,2,1,1,2,0
Uttar Pradesh,MORADABAD - UP21,L3P,DILLI ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,MORADABAD - UP21,L3P,DIVANSU AUTOMOBILES LTD,0,0,1,0,0,0,2,0,0,0,0,0
Uttar Pradesh,MORADABAD - UP21,L3P,DIVYA ENTERPRISES,1,1,1,1,0,0,0,0,0,0,0,0
Uttar Pradesh,MORADABAD - UP21,L3P,EFEV CHARGING SOLUTION PVT LTD,0,0,0,0,0,0,0,0,0,2,1,0
Uttar Pradesh,MORADABAD - UP21,L3P,E-GURU AUTO ENERGY,0,0,0,0,0,0,4,6,4,0,0,1
Uttar Pradesh,MORADABAD - UP21,L3P,ENERGY ELECTRIC VEHICLES,0,2,1,3,7,1,3,5,3,6,1,2
Uttar Pradesh,MORADABAD - UP21,L3P,EXIDE INDUSTRIES LTD,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,MORADABAD - UP21,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,1,0,0,2,2,0,0,2,0,0,4,0
Uttar Pradesh,MORADABAD - UP21,L3P,G & G AUTOMOTIVE,0,0,0,1,0,1,0,0,0,0,0,0
Uttar Pradesh,MORADABAD - UP21,L3P,GRD MOTORS,1,0,0,0,1,2,1,1,1,0,0,0
Uttar Pradesh,MORADABAD - UP21,L3P,GREENFIT INDUSTRIES LLP,1,1,3,5,8,6,4,11,12,9,21,12
Uttar Pradesh,MORADABAD - UP21,L3P,GREEN IMPEX,0,0,0,0,0,1,0,4,0,0,0,0
Uttar Pradesh,MORADABAD - UP21,L3P,HOTAGE INDIA,6,4,11,3,9,17,9,12,4,0,3,6
Uttar Pradesh,MORADABAD - UP21,L3P,HUNDAL INDUSTRIES,1,2,1,1,4,0,0,2,0,0,0,1
Uttar Pradesh,MORADABAD - UP21,L3P,INDIAN MOTORS,26,20,18,9,21,20,17,19,23,17,17,11
Uttar Pradesh,MORADABAD - UP21,L3P,JESSUN TECHNO PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,MORADABAD - UP21,L3P,J. S. AUTO (P) LTD,1,1,0,0,2,0,1,2,0,0,1,0
Uttar Pradesh,MORADABAD - UP21,L3P,KAPTECH INDIA PVT LTD,0,1,3,0,2,5,2,7,2,1,1,4
Uttar Pradesh,MORADABAD - UP21,L3P,KCAS ELECTRIC VEHICLES PVT LTD,3,1,2,13,11,5,5,14,7,6,5,6
Uttar Pradesh,MORADABAD - UP21,L3P,KGN INDUSTRIES,2,2,1,1,4,5,5,5,2,2,5,5
Uttar Pradesh,MORADABAD - UP21,L3P,KHALSAE-VEHICLES PVT LTD,6,11,22,17,27,16,14,13,6,4,5,5
Uttar Pradesh,MORADABAD - UP21,L3P,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,2,0,2,1,0,0,0,0,0,0,0
Uttar Pradesh,MORADABAD - UP21,L3P,LOHIA AUTO INDUSTRIES,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,MORADABAD - UP21,L3P,MAHINDRA LAST MILE MOBILITY LTD,8,2,3,1,3,0,2,4,6,4,0,0
Uttar Pradesh,MORADABAD - UP21,L3P,MAHINDRA & MAHINDRA LIMITED,3,1,0,1,1,2,0,0,0,0,0,0
