State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Maharajganj - UP56,L3G,ALTIER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,2,2,0,2,0
Uttar Pradesh,Maharajganj - UP56,L3G,ATUT SANGAM,0,0,0,0,0,0,1,0,0,0,0,1
Uttar Pradesh,Maharajganj - UP56,L3G,AVON CYCLES LTD,0,0,0,0,1,0,1,0,0,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,BHM INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,3
Uttar Pradesh,Maharajganj - UP56,L3G,BRIGHT AUTOZONE PVT LTD,0,0,5,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,CHAMPION POLY PLAST,0,0,0,0,2,1,0,0,0,2,1,0
Uttar Pradesh,Maharajganj - UP56,L3G,DILLI ELECTRIC AUTO PVT LTD,1,7,7,8,0,5,2,4,1,5,8,10
Uttar Pradesh,Maharajganj - UP56,L3G,ELITE AUTO ENGINEERS PVT LTD,0,1,0,1,0,0,0,1,0,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,ENERGY ELECTRIC VEHICLES,0,0,0,0,0,2,1,0,1,1,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,GAYATRI ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Maharajganj - UP56,L3G,J. S. AUTO (P) LTD,1,11,8,3,8,6,0,4,8,2,7,7
Uttar Pradesh,Maharajganj - UP56,L3G,JS MOBILEON PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Maharajganj - UP56,L3G,KHALSAE-VEHICLES PVT LTD,0,0,0,0,0,2,0,0,0,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,MAHINDRA LAST MILE MOBILITY LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,RIBAND ELECTRIC PVT LTD,0,0,2,0,7,2,2,2,0,2,2,2
Uttar Pradesh,Maharajganj - UP56,L3G,SAERA ELECTRIC AUTO PVT LTD,1,2,4,11,9,5,1,25,5,6,15,4
Uttar Pradesh,Maharajganj - UP56,L3G,SHINE METAL UDYOG PVT LTD (UNIT- II),2,0,0,0,0,2,0,0,0,0,1,0
Uttar Pradesh,Maharajganj - UP56,L3G,SKS TRADE INDIA PVT LTD,0,0,1,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,TERRA MOTORS INDIA PVT LTD,0,0,0,0,0,2,1,1,0,2,0,1
Uttar Pradesh,Maharajganj - UP56,L3G,T U K INDUSTRIES,0,0,2,0,1,2,1,1,0,1,1,0
Uttar Pradesh,Maharajganj - UP56,L3G,UNIQUE INTERNATIONAL,0,0,0,1,0,0,0,0,0,0,0,1
Uttar Pradesh,Maharajganj - UP56,L3G,U.P. TELELINKS LIMITED,0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,6,3,1,2,6,0,5,6,2,1,2,1
Uttar Pradesh,Maharajganj - UP56,L3G,YC ELECTRIC VEHICLE,0,0,0,1,0,0,3,0,0,1,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,ZEOPLUS AXIS INDIA PVT. LTD.,3,2,1,0,3,0,1,0,3,0,4,5
