State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Maharajganj - UP56,E2W,ATHER ENERGY LTD,1,0,2,0,0,0,1,4,0,0,0
Uttar Pradesh,Maharajganj - UP56,E2W,BAJAJ AUTO LTD,5,5,21,5,3,17,1,57,0,0,0
Uttar Pradesh,Maharajganj - UP56,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,5,5,5,8,2,6,0,31,0,0,0
Uttar Pradesh,Maharajganj - UP56,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Maharajganj - UP56,E2W,HERO MOTOCORP LTD,0,0,1,0,1,3,0,5,0,0,0
Uttar Pradesh,Maharajganj - UP56,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Maharajganj - UP56,E2W,OKAYA EV PVT LTD,0,0,0,0,3,0,0,3,0,0,0
Uttar Pradesh,Maharajganj - UP56,E2W,OKINAWA AUTOTECH PVT LTD,0,0,2,1,0,0,0,3,0,0,0
Uttar Pradesh,Maharajganj - UP56,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,18,2,23,6,16,11,0,76,0,0,0
Uttar Pradesh,Maharajganj - UP56,E2W,PUR ENERGY PVT LTD,0,10,20,15,0,15,0,60,0,0,0
Uttar Pradesh,Maharajganj - UP56,E2W,QUANTUM ENERGY LTD.,1,0,0,0,1,1,0,3,0,0,0
Uttar Pradesh,Maharajganj - UP56,E2W,REVOLT INTELLICORP PVT LTD,0,1,0,1,0,0,0,2,0,0,0
Uttar Pradesh,Maharajganj - UP56,E2W,TVS MOTOR COMPANY LTD,7,0,6,1,2,2,0,18,0,0,0
Uttar Pradesh,Maharajganj - UP56,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,0,2,7,4,1,0,14,0,0,0
