State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Maharajganj - UP56,L3G,APM AUTO SALES,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,ATTOLENT AUTO GROUP PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,ATUT SANGAM,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,BRIGHT AUTOZONE PVT LTD,0,0,3,0,0,0,0,3,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,DILLI ELECTRIC AUTO PVT LTD,3,2,5,4,5,4,0,23,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,ELITE AUTO ENGINEERS PVT LTD,0,0,1,1,1,1,0,4,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,ENERGY ELECTRIC VEHICLES,0,0,0,0,2,1,0,3,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,HOTAGE INDIA,0,2,1,2,0,0,0,5,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,JAL ENTERPRISES,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,J. S. AUTO (P) LTD,0,4,9,12,4,6,0,35,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,MINI METRO EV L.L.P,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,RIBAND ELECTRIC PVT LTD,1,0,6,12,4,9,0,32,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,SAERA ELECTRIC AUTO PVT LTD,3,23,1,6,2,1,0,36,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,SHINE METAL UDYOG PVT LTD (UNIT- II),0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,SHIV OM INDIA,0,0,0,0,0,0,1,1,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,SKS TRADE INDIA PVT LTD,1,1,0,0,0,1,0,3,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,TERRA MOTORS INDIA PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,T U K INDUSTRIES,0,3,0,0,1,1,1,6,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,UNIQUE INTERNATIONAL,1,1,0,3,2,0,0,7,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,U.P. TELELINKS LIMITED,0,2,0,2,0,1,0,5,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,VICTORY ELECTRIC INTERNATIONAL,1,0,0,0,1,1,0,3,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,2,0,2,1,4,0,1,10,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,YC ELECTRIC VEHICLE,0,0,2,1,0,0,0,3,0,0,0
Uttar Pradesh,Maharajganj - UP56,L3G,ZEOPLUS AXIS INDIA PVT. LTD.,0,0,0,0,1,1,0,2,0,0,0
