State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Mahoba - UP95,L3P,ACCRETION POWER AUTOS,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Mahoba - UP95,L3P,ALLFINE INDUSTRIES PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Mahoba - UP95,L3P,APM AUTO SALES,7,0,6,5,12,7,1,38,0,0,0
Uttar Pradesh,Mahoba - UP95,L3P,BADSHAH ENTERPRISES,1,0,0,4,0,0,0,5,0,0,0
Uttar Pradesh,Mahoba - UP95,L3P,BEST WAY AGENCIES PVT LTD,4,4,3,0,4,0,0,15,0,0,0
Uttar Pradesh,Mahoba - UP95,L3P,BHAVE ELECTRIC VEHICLES PVT LTD,4,3,2,3,0,3,0,15,0,0,0
Uttar Pradesh,Mahoba - UP95,L3P,BHM INDUSTRIES,3,0,1,0,0,0,0,4,0,0,0
Uttar Pradesh,Mahoba - UP95,L3P,BRIGHT AUTOZONE PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Mahoba - UP95,L3P,CELLETRON MOTOR WORKS,0,0,2,2,1,0,0,5,0,0,0
Uttar Pradesh,Mahoba - UP95,L3P,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,0,0,2,0,0,0,2,0,0,0
Uttar Pradesh,Mahoba - UP95,L3P,DUKE AUTO INDIA,3,3,2,13,6,2,0,29,0,0,0
Uttar Pradesh,Mahoba - UP95,L3P,ELITE AUTO ENGINEERS PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Mahoba - UP95,L3P,ENERGY ELECTRIC VEHICLES,7,2,7,16,9,2,0,43,0,0,0
Uttar Pradesh,Mahoba - UP95,L3P,HOTAGE INDIA,6,6,8,5,13,13,0,51,0,0,0
Uttar Pradesh,Mahoba - UP95,L3P,INDIAN MOTORS,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Mahoba - UP95,L3P,JMT VEHICLES PVT LTD,0,2,1,1,1,7,0,12,0,0,0
