State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Mainpuri - UP84,ICE,BAJAJ AUTO LTD,289,422,457,562,517,395,470,303,336,479,"1,362",253
Uttar Pradesh,Mainpuri - UP84,ICE,BMW INDIA PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Mainpuri - UP84,ICE,CLASSIC LEGENDS PVT LTD,0,1,0,3,2,0,1,0,0,2,4,1
Uttar Pradesh,Mainpuri - UP84,ICE,HERO HONDA MOTORS  LTD,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Mainpuri - UP84,ICE,HERO MOTOCORP LTD,877,"1,068","1,167","1,401",893,851,"1,117","1,002",689,"1,236","2,887",553
Uttar Pradesh,Mainpuri - UP84,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,120,111,105,138,111,103,110,112,97,140,360,70
Uttar Pradesh,Mainpuri - UP84,ICE,INDIA YAMAHA MOTOR PVT LTD,12,8,3,24,6,6,7,4,4,11,11,5
Uttar Pradesh,Mainpuri - UP84,ICE,PIAGGIO VEHICLES PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Mainpuri - UP84,ICE,QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO),0,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Mainpuri - UP84,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),68,72,66,77,36,37,42,34,31,86,177,24
Uttar Pradesh,Mainpuri - UP84,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,0,1,0,3,3,0,0,1,1,3,3,2
Uttar Pradesh,Mainpuri - UP84,ICE,TVS MOTOR COMPANY LTD,191,301,245,378,233,178,226,192,161,339,563,161
