State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Mainpuri - UP84,L3G,3S INDUSTRIES PRIVATE LIMITED,0,0,0,0,2,2,0,1,1,3,0,3
Uttar Pradesh,Mainpuri - UP84,L3G,ACCRETION POWER AUTOS,0,0,0,0,0,1,1,0,1,3,2,1
Uttar Pradesh,Mainpuri - UP84,L3G,ATTOLENT AUTO GROUP PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Mainpuri - UP84,L3G,BHAVE ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Mainpuri - UP84,L3G,DUKE AUTO INDIA,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Mainpuri - UP84,L3G,ENERGY ELECTRIC VEHICLES,0,0,0,5,1,2,3,6,3,2,2,4
Uttar Pradesh,Mainpuri - UP84,L3G,JAYNA AUTOMOBILES LLP,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Mainpuri - UP84,L3G,JMT VEHICLES PVT LTD,0,0,0,1,0,0,1,0,0,0,1,0
Uttar Pradesh,Mainpuri - UP84,L3G,J. S. AUTO (P) LTD,3,6,4,5,6,8,9,8,3,12,8,3
Uttar Pradesh,Mainpuri - UP84,L3G,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,0,1,2,0,0,1,3,2,0,0,0,0
Uttar Pradesh,Mainpuri - UP84,L3G,SAHNIANAND E VEHICLES PVT LTD,0,1,0,1,0,0,3,0,1,2,1,1
Uttar Pradesh,Mainpuri - UP84,L3G,SHREE MARUTI NANDAN BUSINESSS (P) LTD,0,1,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Mainpuri - UP84,L3G,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Mainpuri - UP84,L3G,SHRI NAMO ELECTRIC AUTOMOTIVE,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Mainpuri - UP84,L3G,THUKRAL ELECTRIC BIKES PVT LTD,0,6,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Mainpuri - UP84,L3G,T U K INDUSTRIES,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Mainpuri - UP84,L3G,UNIQUE INTERNATIONAL,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Mainpuri - UP84,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,0,0,0,1,0,0,0,0,0,1,0,0
Uttar Pradesh,Mainpuri - UP84,L3G,YC ELECTRIC VEHICLE,0,0,0,0,1,1,0,0,2,3,2,2
