State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Mainpuri - UP84,E2W,ATHER ENERGY LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Mainpuri - UP84,E2W,BAJAJ AUTO LTD,26,30,31,19,10,30,0,146,0,0,0
Uttar Pradesh,Mainpuri - UP84,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Mainpuri - UP84,E2W,HERO MOTOCORP LTD,1,2,2,0,3,6,0,14,0,0,0
Uttar Pradesh,Mainpuri - UP84,E2W,OBEN ELECTRIC VEHICLES PVT LTD,0,0,2,2,3,1,0,8,0,0,0
Uttar Pradesh,Mainpuri - UP84,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,9,4,10,4,11,8,1,47,0,0,0
Uttar Pradesh,Mainpuri - UP84,E2W,PUR ENERGY PVT LTD,0,9,19,15,0,15,0,58,0,0,0
Uttar Pradesh,Mainpuri - UP84,E2W,REVOLT INTELLICORP PVT LTD,2,3,4,0,3,1,0,13,0,0,0
Uttar Pradesh,Mainpuri - UP84,E2W,TVS MOTOR COMPANY LTD,11,1,5,7,9,9,0,42,0,0,0
Uttar Pradesh,Mainpuri - UP84,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,1,0,0,0,0,0,0,1,0,0,0
