State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Mau - UP54,E2W,BAJAJ AUTO LTD,0,1,0,1,0,1,2,7,5,7,11,12
Uttar Pradesh,Mau - UP54,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Mau - UP54,E2W,BOUNCE ELECTRIC 1 PVT LTD,9,3,5,2,2,1,0,0,0,0,0,0
Uttar Pradesh,Mau - UP54,E2W,E-SPRINTO GREEN ENERGY PVT LTD,0,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Mau - UP54,E2W,EVTRIC MOTORS PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Mau - UP54,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,1,1,2,2,1,1,0,2,1,2,0
Uttar Pradesh,Mau - UP54,E2W,HERO ELECTRIC VEHICLES PVT. LTD,2,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Mau - UP54,E2W,HERO MOTOCORP LTD,0,0,1,0,0,0,0,1,0,2,14,0
Uttar Pradesh,Mau - UP54,E2W,HOP ELECTRIC MOBILITY PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Mau - UP54,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Mau - UP54,E2W,LECTRIX E VEHICLES PVT LTD,0,0,4,0,0,0,0,3,1,0,2,0
Uttar Pradesh,Mau - UP54,E2W,OKINAWA AUTOTECH PVT LTD,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Mau - UP54,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,18,25,43,26,17,31,38,26,15,43,30,11
Uttar Pradesh,Mau - UP54,E2W,PUR ENERGY PVT LTD,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Mau - UP54,E2W,REVOLT INTELLICORP PVT LTD,0,0,0,0,1,2,3,2,2,2,3,1
Uttar Pradesh,Mau - UP54,E2W,TVS MOTOR COMPANY LTD,3,7,9,6,9,15,17,47,40,64,89,56
Uttar Pradesh,Mau - UP54,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,1,0,1,0,0,1,0,0,0,0,0,0
