State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Mau - UP54,E2W,ATHER ENERGY LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Mau - UP54,E2W,BAJAJ AUTO LTD,9,11,18,11,15,8,0,72,0,0,0
Uttar Pradesh,Mau - UP54,E2W,BATTRE ELECTRIC MOBLITY PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Mau - UP54,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,1,0,0,1,0,1,0,3,0,0,0
Uttar Pradesh,Mau - UP54,E2W,HERO MOTOCORP LTD,0,1,5,7,6,8,0,27,0,0,0
Uttar Pradesh,Mau - UP54,E2W,LECTRIX E VEHICLES PVT LTD,0,0,0,1,4,1,0,6,0,0,0
Uttar Pradesh,Mau - UP54,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,21,10,14,9,15,18,0,87,0,0,0
Uttar Pradesh,Mau - UP54,E2W,REVOLT INTELLICORP PVT LTD,2,3,1,0,1,1,0,8,0,0,0
Uttar Pradesh,Mau - UP54,E2W,TVS MOTOR COMPANY LTD,80,55,118,62,66,90,0,471,0,0,0
Uttar Pradesh,Mau - UP54,E2W,WARIVO MOTOR INDIA PVT LTD,0,0,2,0,4,0,0,6,0,0,0
