State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,MuzaffarNagar - UP12,L3P,AAKK AUTO PVT LTD,0,0,0,0,2,5,7,10,2,7,3,2
Uttar Pradesh,MuzaffarNagar - UP12,L3P,AKG INTERNATIONAL,1,1,0,1,5,2,6,1,1,3,1,2
Uttar Pradesh,MuzaffarNagar - UP12,L3P,ALVI AUTO,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,MuzaffarNagar - UP12,L3P,AMAN ELECTRIC VEHICLES,1,1,1,0,1,0,1,0,0,1,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,A.R. MOTOR,0,0,0,6,3,2,1,1,2,3,0,4
Uttar Pradesh,MuzaffarNagar - UP12,L3P,ATTOLENT AUTO GROUP PVT LTD,0,0,0,0,0,0,10,0,0,0,0,1
Uttar Pradesh,MuzaffarNagar - UP12,L3P,AVL ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,2,9,2,0,4,13,3
Uttar Pradesh,MuzaffarNagar - UP12,L3P,B24 ROKET EV,0,0,0,0,0,0,0,0,1,1,0,1
Uttar Pradesh,MuzaffarNagar - UP12,L3P,BABA E-VEHICLES,20,14,3,3,6,8,7,14,10,13,13,7
Uttar Pradesh,MuzaffarNagar - UP12,L3P,BAJAJ IMPLEMENTS PVT. LTD,1,1,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,MuzaffarNagar - UP12,L3P,BEST WAY AGENCIES PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,CHAMPION POLY PLAST,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,DAKSH INDUSTRIES,13,12,7,8,16,5,11,21,9,12,2,2
Uttar Pradesh,MuzaffarNagar - UP12,L3P,DEV MOTORS,0,0,4,1,10,15,44,42,20,17,25,31
Uttar Pradesh,MuzaffarNagar - UP12,L3P,DILLI ELECTRIC AUTO PVT LTD,0,1,0,0,2,0,1,0,0,0,1,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,DIVANSU AUTOMOBILES LTD,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,DIVYA ENTERPRISES,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,ECO SMART VEHICLES PVT LTD,4,2,0,1,2,0,0,0,0,0,0,2
Uttar Pradesh,MuzaffarNagar - UP12,L3P,E-GURU AUTO ENERGY,0,0,0,3,1,1,2,0,0,1,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,ENERGY ELECTRIC VEHICLES,0,0,0,1,1,0,1,0,0,1,1,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,FIVE ELEMENTS,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,MuzaffarNagar - UP12,L3P,G & G AUTOMOTIVE,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,HOTAGE INDIA,1,5,3,3,3,2,2,1,1,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,INDIAN MOTORS,4,3,0,2,0,0,1,0,0,2,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,J P AUTO TECH,1,6,1,2,7,1,1,5,1,2,0,1
Uttar Pradesh,MuzaffarNagar - UP12,L3P,KAMAZ INDUSTRIES,0,0,0,0,0,0,0,0,0,0,12,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,KANHA ELECTRIC VEHICLES,0,0,0,1,2,8,6,11,6,9,7,8
Uttar Pradesh,MuzaffarNagar - UP12,L3P,KHALSAE-VEHICLES PVT LTD,32,28,31,22,31,41,39,41,21,33,24,23
Uttar Pradesh,MuzaffarNagar - UP12,L3P,LALA G E RICKSHAW AND SPARE PARTS,1,4,2,1,6,2,0,6,3,6,10,9
Uttar Pradesh,MuzaffarNagar - UP12,L3P,MAHINDRA LAST MILE MOBILITY LTD,15,6,4,2,2,1,6,9,2,3,1,1
Uttar Pradesh,MuzaffarNagar - UP12,L3P,MAHINDRA & MAHINDRA LIMITED,2,2,0,0,0,0,0,1,0,1,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,MALI ENTERPRISES PVT LTD,0,0,0,0,0,0,0,0,6,4,4,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,MANITA CITY MOTORS LLP,0,0,0,0,0,1,2,6,1,4,2,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,MINI METRO EV L.L.P,42,20,10,27,28,19,29,19,10,17,20,13
Uttar Pradesh,MuzaffarNagar - UP12,L3P,M.K. ENTERPRISES,0,3,2,3,2,9,3,4,3,5,1,1
Uttar Pradesh,MuzaffarNagar - UP12,L3P,NAMAH INDUSTRIES PVT LTD,0,0,2,0,2,0,0,1,2,2,0,1
Uttar Pradesh,MuzaffarNagar - UP12,L3P,PARAS INDUSTRIES,21,9,22,16,10,8,9,20,17,18,11,10
Uttar Pradesh,MuzaffarNagar - UP12,L3P,PARI METRO E RICKSHAW,0,5,7,2,1,3,1,2,2,5,1,1
Uttar Pradesh,MuzaffarNagar - UP12,L3P,PARVEEN AUTO,2,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,RANA ENGINEER WORKS,5,0,0,0,0,0,0,0,0,1,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,ROARLEO MOTOR PVT LTD,5,2,1,0,2,1,0,1,1,1,0,2
Uttar Pradesh,MuzaffarNagar - UP12,L3P,RUN STAR ENGINEERING,0,0,0,0,0,0,0,0,3,2,4,9
Uttar Pradesh,MuzaffarNagar - UP12,L3P,SAERA ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,SAHNIANAND E VEHICLES PVT LTD,1,0,0,0,0,0,0,1,0,1,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,SAMRAT ELECTRIC VEHICLE,0,1,2,0,1,1,0,1,5,4,7,4
Uttar Pradesh,MuzaffarNagar - UP12,L3P,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,1,1,0,0,0,1,1,1,0,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,SHAH ELECTRIC MOTERS,0,0,0,0,0,0,0,0,0,1,5,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,SHAKTI AUTO GREEN,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,SINGHAL ENTERPRISES,0,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,SKS TRADE INDIA PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,SPEED AUTO TECH,0,0,5,3,3,5,3,2,3,1,6,1
Uttar Pradesh,MuzaffarNagar - UP12,L3P,STAR BULL E MOTORS,57,24,43,21,44,31,35,53,19,40,19,27
Uttar Pradesh,MuzaffarNagar - UP12,L3P,STAR INDUSTRIES,1,1,1,0,2,0,1,1,0,3,4,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,SUN INDUSTRIES,0,3,1,2,1,3,2,1,0,3,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,SUPER METRO INDUSTRIES,3,3,0,2,1,1,4,2,2,0,1,2
Uttar Pradesh,MuzaffarNagar - UP12,L3P,SUPER POWER MOTORS,10,10,13,0,9,0,1,3,0,2,1,1
Uttar Pradesh,MuzaffarNagar - UP12,L3P,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,2,0,0,0,0,0,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,UNIQUE AUTO ELECTRIC,5,16,12,20,23,16,32,24,14,29,13,10
Uttar Pradesh,MuzaffarNagar - UP12,L3P,UNIQUE ENTERPRISES,20,18,18,6,13,24,33,20,25,33,14,17
Uttar Pradesh,MuzaffarNagar - UP12,L3P,UNIQUE INTERNATIONAL,10,9,10,10,13,19,16,17,10,16,5,7
Uttar Pradesh,MuzaffarNagar - UP12,L3P,YC ELECTRIC VEHICLE,5,1,6,4,5,4,9,10,5,10,11,4
