State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,MuzaffarNagar - UP12,E2W,ATHER ENERGY LTD,9,7,17,11,20,7,0,71,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,E2W,BAJAJ AUTO LTD,46,33,56,37,43,35,2,252,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,E2W,GREAVES ELECTRIC MOBILITY PVT LTD,8,12,7,9,14,8,0,58,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,E2W,HERO MOTOCORP LTD,19,23,61,23,47,36,2,211,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,E2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,5,4,1,1,0,11,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,E2W,KLB KOMAKI PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,E2W,OBEN ELECTRIC VEHICLES PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,E2W,OKINAWA AUTOTECH PVT LTD,2,0,1,0,0,0,0,3,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,65,18,70,79,60,58,2,352,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,E2W,PUR ENERGY PVT LTD,0,1,1,0,0,0,0,2,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,E2W,REVOLT INTELLICORP PVT LTD,5,0,2,0,2,0,0,9,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,E2W,TVS MOTOR COMPANY LTD,47,37,40,41,56,48,0,269,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,0,1,0,0,0,0,0,1,0,0,0
