State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,MuzaffarNagar - UP12,L3P,AAKK AUTO PVT LTD,8,2,2,19,4,4,0,39,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,AKG INTERNATIONAL,2,3,1,1,3,2,0,12,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,ALVI AUTO,2,1,11,12,7,2,1,36,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,AMAN ELECTRIC VEHICLES,2,1,2,2,2,0,0,9,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,A.R. MOTOR,0,0,2,1,1,0,0,4,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,ATTOLENT AUTO GROUP PVT LTD,0,0,0,2,4,0,0,6,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,AUTO SUPREME INDUSTRIES,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,AVL ELECTRIC VEHICLES PVT LTD,2,2,0,0,0,2,0,6,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,B24 ROKET EV,1,0,1,0,0,0,0,2,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,BABA E-VEHICLES,3,5,10,10,3,2,0,33,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,BAJAJ IMPLEMENTS PVT. LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,BAXY LTD,0,0,0,0,0,2,0,2,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,BHARATH MOTOCORP,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,DAKSH INDUSTRIES,0,3,1,5,6,3,0,18,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,DEV MOTORS,42,34,44,81,69,48,1,319,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,DILLI ELECTRIC AUTO PVT LTD,0,0,0,1,0,1,0,2,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,DIVANSU AUTOMOBILES LTD,0,0,2,0,0,0,0,2,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,DIVYA ENTERPRISES,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,E-GURU AUTO ENERGY,0,2,0,1,0,2,0,5,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,EPOWER VEHICLES PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,HOTAGE INDIA,0,0,1,0,0,1,0,2,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,J P AUTO TECH,2,0,1,9,2,3,0,17,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,KANHA ELECTRIC VEHICLES,4,10,11,22,12,6,2,67,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,KHALSAE-VEHICLES PVT LTD,30,14,15,15,17,11,0,102,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,LALA G E RICKSHAW AND SPARE PARTS,8,0,5,18,20,9,1,61,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,MAA SHAKTI EXIM PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,MAHINDRA LAST MILE MOBILITY LTD,0,0,0,1,1,1,0,3,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,MALI ENTERPRISES PVT LTD,1,1,1,3,1,2,1,10,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,MANITA CITY MOTORS LLP,0,1,0,3,1,0,0,5,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,MINI METRO EV L.L.P,5,13,10,18,21,17,0,84,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,M.K. ENTERPRISES,4,0,0,0,1,0,0,5,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,NAMAH INDUSTRIES PVT LTD,0,3,1,1,0,0,0,5,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,PARAS INDUSTRIES,9,5,4,25,25,4,1,73,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,PARI METRO E RICKSHAW,1,0,1,2,0,4,3,11,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,ROARLEO MOTOR PVT LTD,0,0,5,3,8,0,0,16,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,RUN STAR ENGINEERING,0,0,4,17,12,0,0,33,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,SAHNIANAND E VEHICLES PVT LTD,0,0,0,1,0,1,0,2,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,SAIF AUTO LTD,0,0,0,5,5,0,0,10,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,SAMRAT ELECTRIC VEHICLE,2,4,5,4,5,7,0,27,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,2,1,1,1,0,5,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,SHAH ELECTRIC MOTERS,4,3,4,8,6,7,0,32,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,SPEED AUTO TECH,0,1,1,9,4,1,0,16,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,STAR BULL E MOTORS,20,12,13,55,30,10,1,141,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,STAR INDUSTRIES,3,0,0,8,5,0,0,16,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,SUN INDUSTRIES,6,1,2,7,2,0,0,18,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,SUPER METRO INDUSTRIES,0,0,1,4,5,1,0,11,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,SUPER POWER MOTORS,0,0,2,3,6,4,0,15,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,TOP TEAM MACHINES PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,UNIQUE AUTO ELECTRIC,23,26,12,33,23,12,16,145,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,UNIQUE ENTERPRISES,19,17,17,27,25,16,1,122,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,UNIQUE INTERNATIONAL,17,7,6,13,9,7,1,60,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,UP FURNITURE,0,0,0,0,3,0,0,3,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,VIRAT MOTOCORP,0,0,0,2,6,0,0,8,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,YAARI AUTOMOBILES PVT LTD,0,0,0,0,2,0,0,2,0,0,0
Uttar Pradesh,MuzaffarNagar - UP12,L3P,YC ELECTRIC VEHICLE,3,4,3,8,11,13,1,43,0,0,0
