State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Noida - UP16,L3G,ADM TECHNOLOGIES PVT. LTD.,0,0,0,2,0,0,0,0,0,0,0,0
Uttar Pradesh,Noida - UP16,L3G,AKG INTERNATIONAL,0,0,0,0,1,0,0,0,1,0,1,1
Uttar Pradesh,Noida - UP16,L3G,ARNA ELECTRIC AUTO PVT LTD,0,1,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Noida - UP16,L3G,ASHA IMPEX,0,0,1,0,1,1,0,0,0,0,0,0
Uttar Pradesh,Noida - UP16,L3G,ATTOLENT AUTO GROUP PVT LTD,1,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Noida - UP16,L3G,ATUL AUTO LTD,0,0,0,0,8,0,0,0,0,0,0,0
Uttar Pradesh,Noida - UP16,L3G,A.V.AUTOMOTIVES PVT LTD,0,0,1,0,1,1,0,0,0,0,0,0
Uttar Pradesh,Noida - UP16,L3G,AVL ELECTRIC VEHICLES PVT LTD,1,1,1,0,1,0,0,0,3,0,0,0
Uttar Pradesh,Noida - UP16,L3G,BABA E-VEHICLES,0,0,0,0,2,1,0,2,1,1,0,5
Uttar Pradesh,Noida - UP16,L3G,BEST WAY AGENCIES PVT LTD,3,0,1,0,1,0,0,2,1,0,0,1
Uttar Pradesh,Noida - UP16,L3G,BHAVE ELECTRIC VEHICLES PVT LTD,2,4,11,6,12,6,4,11,4,8,2,6
Uttar Pradesh,Noida - UP16,L3G,CART INDIA,82,6,5,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Noida - UP16,L3G,CEEON INDIA,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Noida - UP16,L3G,CHAMPION POLY PLAST,0,0,0,0,2,0,1,0,1,1,0,0
Uttar Pradesh,Noida - UP16,L3G,CHEHAK BATTERIES,1,0,0,0,0,0,0,0,0,2,0,0
Uttar Pradesh,Noida - UP16,L3G,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Noida - UP16,L3G,DILLI ELECTRIC AUTO PVT LTD,2,13,4,1,6,4,8,1,7,4,1,5
Uttar Pradesh,Noida - UP16,L3G,ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,0,0,0,0,0,0,0,1,1,1,3,1
Uttar Pradesh,Noida - UP16,L3G,E-MOTION AUTOMOTIVE INDUSTRY LLP,0,0,0,0,0,1,0,0,0,0,0,1
Uttar Pradesh,Noida - UP16,L3G,ENERGY ELECTRIC VEHICLES,1,0,0,0,0,0,0,0,0,2,0,0
Uttar Pradesh,Noida - UP16,L3G,GAYATRI ELECTRIC VEHICLES PVT LTD,3,6,2,2,6,3,4,1,5,4,2,2
Uttar Pradesh,Noida - UP16,L3G,G & G AUTOMOTIVE,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Noida - UP16,L3G,GKON ELECTRIC MOTOR VEHICLES PVT LTD,4,0,0,1,0,0,0,1,0,0,2,0
Uttar Pradesh,Noida - UP16,L3G,GRD MOTORS,0,0,0,0,0,0,0,1,1,1,0,0
Uttar Pradesh,Noida - UP16,L3G,GREEN STAR MOTORS,0,1,0,0,2,0,4,1,1,1,2,1
Uttar Pradesh,Noida - UP16,L3G,HOP MOTORS PVT LTD,1,1,1,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Noida - UP16,L3G,HOTAGE INDIA,0,3,0,1,1,2,3,6,0,1,0,0
Uttar Pradesh,Noida - UP16,L3G,JAIN POWER CORP,0,0,0,0,0,0,0,0,0,1,0,0
