State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Noida - UP16,L5P,ATUL GREENTECH PRIVATE LIMITED,0,3,4,1,0,5,6,4,3,8,3,2
Uttar Pradesh,Noida - UP16,L5P,BAJAJ AUTO LTD,120,59,103,51,93,85,96,104,151,262,119,121
Uttar Pradesh,Noida - UP16,L5P,CHAMPION POLY PLAST,0,0,0,0,0,4,2,1,0,1,0,0
Uttar Pradesh,Noida - UP16,L5P,ERISHA E MOBILITY PVT LTD,2,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Noida - UP16,L5P,EULER MOTORS PVT LTD,0,0,0,0,0,0,0,6,5,8,7,7
Uttar Pradesh,Noida - UP16,L5P,GODAWARI ELECTRIC MOTORS PVT LTD,0,0,6,7,1,3,1,2,0,0,2,0
Uttar Pradesh,Noida - UP16,L5P,MAHINDRA LAST MILE MOBILITY LTD,134,96,125,70,116,109,133,130,154,208,182,127
Uttar Pradesh,Noida - UP16,L5P,MAHINDRA & MAHINDRA LIMITED,11,4,1,2,2,0,0,0,0,0,0,0
Uttar Pradesh,Noida - UP16,L5P,MLR AUTO LTD,0,0,0,0,0,0,0,0,9,0,0,0
Uttar Pradesh,Noida - UP16,L5P,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,0,0,1,0,0,3,1,0,0,0,0
Uttar Pradesh,Noida - UP16,L5P,OMEGA SEIKI PVT LTD,5,5,13,10,8,7,5,7,10,8,13,10
Uttar Pradesh,Noida - UP16,L5P,PIAGGIO VEHICLES PVT LTD,76,47,94,27,65,38,81,49,56,99,64,8
Uttar Pradesh,Noida - UP16,L5P,RASANDIK ENGINEERING INDUSTRIES INDIA LTD,1,4,0,0,0,3,0,2,1,1,0,0
Uttar Pradesh,Noida - UP16,L5P,REDDY AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Noida - UP16,L5P,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,0,0,0,2,7,4,0,0
Uttar Pradesh,Noida - UP16,L5P,TI CLEAN MOBILITY PVT LTD,17,28,57,8,12,20,19,6,10,4,5,5
