State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Noida - UP16,ICE,BAJAJ AUTO LTD,585,421,445,496,442,387,34,"2,810",0,0,0
Uttar Pradesh,Noida - UP16,ICE,BMW INDIA PVT LTD,8,1,5,4,6,3,0,27,0,0,0
Uttar Pradesh,Noida - UP16,ICE,CLASSIC LEGENDS PVT LTD,16,21,13,25,19,10,1,105,0,0,0
Uttar Pradesh,Noida - UP16,ICE,DUCATI INDIA PVT LTD,1,0,1,0,0,0,0,2,0,0,0
Uttar Pradesh,Noida - UP16,ICE,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Noida - UP16,ICE,HERO MOTOCORP LTD,"2,762","2,120","2,564","2,266","2,467","2,689",165,"15,033",0,0,0
Uttar Pradesh,Noida - UP16,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,"1,156",957,996,"1,172","1,088","1,270",67,"6,706",0,0,0
Uttar Pradesh,Noida - UP16,ICE,INDIA KAWASAKI MOTORS PVT LTD,4,1,1,2,1,2,0,11,0,0,0
Uttar Pradesh,Noida - UP16,ICE,INDIA YAMAHA MOTOR PVT LTD,88,77,85,79,112,79,0,520,0,0,0
Uttar Pradesh,Noida - UP16,ICE,PIAGGIO VEHICLES PVT LTD,3,2,5,5,3,3,0,21,0,0,0
Uttar Pradesh,Noida - UP16,ICE,QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO),2,0,2,1,1,1,0,7,0,0,0
Uttar Pradesh,Noida - UP16,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),473,477,494,457,479,388,31,"2,799",0,0,0
Uttar Pradesh,Noida - UP16,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,86,66,88,91,105,76,6,518,0,0,0
Uttar Pradesh,Noida - UP16,ICE,TRIUMPH MOTORCYCLES (INDIA) PVT LTD,1,1,0,1,1,1,0,5,0,0,0
Uttar Pradesh,Noida - UP16,ICE,TVS MOTOR COMPANY LTD,"1,453","1,177","1,437","1,416","1,517","1,412",78,"8,490",0,0,0
Uttar Pradesh,Noida - UP16,ICE,ZHEJIANG CFMOTO (IMPORTER: ADISHWAR AUTO),0,0,0,1,0,0,0,1,0,0,0
