State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Noida - UP16,L5P,ATUL GREENTECH PRIVATE LIMITED,4,2,0,0,0,0,0,6,0,0,0
Uttar Pradesh,Noida - UP16,L5P,BAJAJ AUTO LTD,149,126,124,91,100,109,6,705,0,0,0
Uttar Pradesh,Noida - UP16,L5P,EULER MOTORS PVT LTD,9,4,8,8,7,3,0,39,0,0,0
Uttar Pradesh,Noida - UP16,L5P,GAYATRI ELECTRIC VEHICLES PVT LTD,0,0,0,2,5,3,0,10,0,0,0
Uttar Pradesh,Noida - UP16,L5P,KHALSAE-VEHICLES PVT LTD,0,0,0,0,1,2,0,3,0,0,0
Uttar Pradesh,Noida - UP16,L5P,MAHINDRA LAST MILE MOBILITY LTD,151,140,143,85,122,111,3,755,0,0,0
Uttar Pradesh,Noida - UP16,L5P,MAHINDRA & MAHINDRA LIMITED,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Noida - UP16,L5P,OMEGA SEIKI PVT LTD,130,439,165,14,17,6,1,772,0,0,0
Uttar Pradesh,Noida - UP16,L5P,PIAGGIO VEHICLES PVT LTD,55,28,25,14,4,3,3,132,0,0,0
Uttar Pradesh,Noida - UP16,L5P,THUKRAL ELECTRIC BIKES PVT LTD,0,0,5,0,0,0,0,5,0,0,0
Uttar Pradesh,Noida - UP16,L5P,TI CLEAN MOBILITY PVT LTD,2,7,15,4,5,6,0,39,0,0,0
Uttar Pradesh,Noida - UP16,L5P,TVS MOTOR COMPANY LTD,0,0,8,26,27,28,0,89,0,0,0
