State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Orai - UP92,E2W,ATHER ENERGY LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Orai - UP92,E2W,BAJAJ AUTO LTD,0,0,1,0,0,0,1,7,20,14,27,27
Uttar Pradesh,Orai - UP92,E2W,HERO MOTOCORP LTD,0,0,0,1,0,0,1,0,0,0,0,0
Uttar Pradesh,Orai - UP92,E2W,JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD),0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Orai - UP92,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Orai - UP92,E2W,KLB KOMAKI PVT LTD,0,0,3,0,0,0,0,1,3,0,0,0
Uttar Pradesh,Orai - UP92,E2W,LECTRIX E VEHICLES PVT LTD,1,3,0,0,0,2,0,3,1,3,2,1
Uttar Pradesh,Orai - UP92,E2W,OKAYA EV PVT LTD,2,0,4,0,1,0,3,1,0,0,2,0
Uttar Pradesh,Orai - UP92,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,15,22,43,27,39,39,31,28,15,52,32,15
Uttar Pradesh,Orai - UP92,E2W,REVOLT INTELLICORP PVT LTD,0,0,1,0,1,1,0,2,0,0,1,0
Uttar Pradesh,Orai - UP92,E2W,TVS MOTOR COMPANY LTD,0,0,0,1,0,0,0,0,0,2,0,2
Uttar Pradesh,Orai - UP92,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,4,0,4,4,3,0,2,5,2,0,4,0
