State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Orai - UP92,L3G,ACCRETION POWER AUTOS,0,0,0,0,0,1,0,0,0,0,2,0
Uttar Pradesh,Orai - UP92,L3G,APM AUTO SALES,0,1,0,0,1,1,0,0,1,0,0,1
Uttar Pradesh,Orai - UP92,L3G,BEST WAY AGENCIES PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Orai - UP92,L3G,BHM INDUSTRIES,0,0,0,0,0,0,0,1,0,0,0,1
Uttar Pradesh,Orai - UP92,L3G,BRIGHT AUTOZONE PVT LTD,0,0,0,0,0,14,1,0,0,0,0,0
Uttar Pradesh,Orai - UP92,L3G,DILLI ELECTRIC AUTO PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Orai - UP92,L3G,EVCO AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,2,0,0,0,0
Uttar Pradesh,Orai - UP92,L3G,HOTAGE INDIA,1,0,0,1,0,0,0,0,0,0,0,2
Uttar Pradesh,Orai - UP92,L3G,JMT VEHICLES PVT LTD,0,0,0,0,2,3,2,3,1,1,0,2
Uttar Pradesh,Orai - UP92,L3G,J. S. AUTO (P) LTD,1,1,0,0,1,0,0,0,2,0,0,0
Uttar Pradesh,Orai - UP92,L3G,KHALSAE-VEHICLES PVT LTD,0,0,1,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Orai - UP92,L3G,LECTRIX E VEHICLES PVT LTD,0,0,1,0,0,1,0,1,0,0,2,0
Uttar Pradesh,Orai - UP92,L3G,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,0,0,1,0,0,2,0,1,0
Uttar Pradesh,Orai - UP92,L3G,SAERA ELECTRIC AUTO PVT LTD,1,0,0,1,1,1,1,0,1,1,1,0
Uttar Pradesh,Orai - UP92,L3G,SHREE MARUTI NANDAN BUSINESSS (P) LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Orai - UP92,L3G,SKS TRADE INDIA PVT LTD,0,1,0,0,0,0,1,1,0,0,2,1
Uttar Pradesh,Orai - UP92,L3G,UNIQUE INTERNATIONAL,0,0,0,0,0,0,0,0,0,0,0,2
