State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,ALTIER ELECTRIC VEHICLES PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,ATUT SANGAM,0,1,0,0,0,1,0,2,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,AVON CYCLES LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,BHM INDUSTRIES,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,BRIGHT AUTOZONE PVT LTD,0,1,1,1,1,0,0,4,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,DILLI ELECTRIC AUTO PVT LTD,0,0,0,1,3,0,0,4,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,ELITE AUTO ENGINEERS PVT LTD,0,0,1,1,1,0,0,3,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,ENERGY ELECTRIC VEHICLES,1,3,2,0,1,1,0,8,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,GAYATRI ELECTRIC VEHICLES PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,GOPAL AUTO MOTORS PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,HOTAGE INDIA,0,1,2,1,0,0,0,4,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,J. S. AUTO (P) LTD,11,8,13,13,11,7,1,64,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,KRISHNA ENGINEERING WORKS,0,1,0,1,2,0,0,4,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,K T ENTERPRISES,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,LECTRIX E VEHICLES PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,M/S SHRIRAM AUTO TECH PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,1,1,5,0,1,2,0,10,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,RIBAND ELECTRIC PVT LTD,0,1,2,1,0,0,0,4,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,SAERA ELECTRIC AUTO PVT LTD,3,9,5,5,2,7,0,31,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,SAHNIANAND E VEHICLES PVT LTD,0,0,2,0,1,0,0,3,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,SKS TRADE INDIA PVT LTD,1,3,1,3,1,0,0,9,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,SUPERTECH EV LIMITED,0,0,0,2,0,0,0,2,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,T U K INDUSTRIES,0,1,1,0,1,0,0,3,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,3,1,0,6,5,3,0,18,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,YC ELECTRIC VEHICLE,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,PADRAUNA(KUSHI NAGAR) - UP57,L3G,ZEOPLUS AXIS INDIA PVT. LTD.,0,2,0,0,0,0,0,2,0,0,0
