State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,PRATAPGARH - UP72,ICE,BAJAJ AUTO LTD,296,399,343,522,589,310,335,192,141,316,870,460
Uttar Pradesh,PRATAPGARH - UP72,ICE,BMW INDIA PVT LTD,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,PRATAPGARH - UP72,ICE,CLASSIC LEGENDS PVT LTD,0,0,1,2,2,0,1,1,1,0,2,0
Uttar Pradesh,PRATAPGARH - UP72,ICE,HERO MOTOCORP LTD,"1,046","1,469","1,319","2,821","1,587","1,407","1,262",861,518,"1,546","4,448","1,070"
Uttar Pradesh,PRATAPGARH - UP72,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,211,164,201,339,467,230,227,217,152,292,612,355
Uttar Pradesh,PRATAPGARH - UP72,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,0,0,1,0,0,0,0,0,0,1,0
Uttar Pradesh,PRATAPGARH - UP72,ICE,INDIA YAMAHA MOTOR PVT LTD,16,32,4,34,30,27,18,14,16,13,28,46
Uttar Pradesh,PRATAPGARH - UP72,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),102,180,122,192,104,121,63,59,57,169,300,122
Uttar Pradesh,PRATAPGARH - UP72,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,4,10,6,10,9,10,18,11,3,10,23,6
Uttar Pradesh,PRATAPGARH - UP72,ICE,TVS MOTOR COMPANY LTD,442,594,508,"1,018",630,469,493,361,277,700,"1,562",514
