State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,PRATAPGARH - UP72,E2W,ATHER ENERGY LTD,0,0,0,1,0,1,1,3,0,0,0
Uttar Pradesh,PRATAPGARH - UP72,E2W,BAJAJ AUTO LTD,12,11,15,14,2,7,0,61,0,0,0
Uttar Pradesh,PRATAPGARH - UP72,E2W,HERO MOTOCORP LTD,1,1,1,0,2,0,0,5,0,0,0
Uttar Pradesh,PRATAPGARH - UP72,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,3,2,1,0,0,4,0,10,0,0,0
Uttar Pradesh,PRATAPGARH - UP72,E2W,ODYSSE ELECTRIC VEHICLES PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,PRATAPGARH - UP72,E2W,OKAYA EV PVT LTD,0,3,2,4,1,1,0,11,0,0,0
Uttar Pradesh,PRATAPGARH - UP72,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,60,19,73,52,36,51,5,296,0,0,0
Uttar Pradesh,PRATAPGARH - UP72,E2W,TVS MOTOR COMPANY LTD,29,21,26,18,25,26,0,145,0,0,0
Uttar Pradesh,PRATAPGARH - UP72,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,1,2,2,1,1,0,0,7,0,0,0
Uttar Pradesh,PRATAPGARH - UP72,E2W,WARIVO MOTOR INDIA PVT LTD,0,0,0,0,0,1,0,1,0,0,0
