State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Pilibhit - UP26,E2W,AFTEK MOTORS INDIA PVT LTD,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Pilibhit - UP26,E2W,ATHER ENERGY LTD,0,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh,Pilibhit - UP26,E2W,BAJAJ AUTO LTD,0,0,0,0,0,0,0,1,0,0,1,2
Uttar Pradesh,Pilibhit - UP26,E2W,ENGTIAN ELECTRIC BIKE PVT LTD,0,1,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Pilibhit - UP26,E2W,HERO ELECTRIC VEHICLES PVT. LTD,0,1,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,Pilibhit - UP26,E2W,HERO MOTOCORP LTD,0,0,0,0,0,0,0,0,1,0,0,1
Uttar Pradesh,Pilibhit - UP26,E2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Pilibhit - UP26,E2W,KLB KOMAKI PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Pilibhit - UP26,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,9,6,9,9,8,11,4,5,5,15,11,2
Uttar Pradesh,Pilibhit - UP26,E2W,PUR ENERGY PVT LTD,0,4,3,0,2,4,0,0,2,1,4,0
Uttar Pradesh,Pilibhit - UP26,E2W,REVOLT INTELLICORP PVT LTD,1,0,0,0,0,0,1,0,0,0,0,0
Uttar Pradesh,Pilibhit - UP26,E2W,SOKUDO ELECTRIC INDIA PVT LTD,0,0,0,0,0,0,2,0,1,0,0,0
Uttar Pradesh,Pilibhit - UP26,E2W,TVS MOTOR COMPANY LTD,0,1,0,0,0,0,0,1,1,1,1,0
Uttar Pradesh,Pilibhit - UP26,E2W,WARDWIZARD INNOVATIONS & MOBILITY LIMITED,2,3,1,0,1,0,1,1,0,0,0,0
Uttar Pradesh,Pilibhit - UP26,E2W,WUXI TENGHUI (IMPORTER: FLYCON MOTORS),0,0,0,0,0,0,0,0,0,0,0,1
