State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Pilibhit - UP26,L3G,ADITYA SAI INDUSTRIES,3,0,0,0,0,0,3,0,0,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,ALLFINE INDUSTRIES PVT LTD,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,3,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,DILLI ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,ENTICE IMPEX PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,GAYATRI ELECTRIC VEHICLES PVT LTD,0,3,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,HOTAGE INDIA,0,0,0,0,0,0,0,1,0,2,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,HUNDAL INDUSTRIES,0,0,0,0,1,1,0,0,1,1,1,0
Uttar Pradesh,Pilibhit - UP26,L3G,KHALSAE-VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,0,1,0
Uttar Pradesh,Pilibhit - UP26,L3G,MAHINDRA & MAHINDRA LIMITED,0,0,0,1,0,0,0,0,0,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,MINI METRO EV L.L.P,1,1,0,0,0,0,0,0,1,1,1,0
Uttar Pradesh,Pilibhit - UP26,L3G,M/S SHRIRAM AUTO TECH PVT LTD,0,0,0,0,2,0,0,0,0,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,T U K INDUSTRIES,0,0,2,0,0,0,1,0,0,0,1,0
Uttar Pradesh,Pilibhit - UP26,L3G,UNIQUE ENTERPRISES,0,0,0,0,0,1,0,0,0,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,UNIQUE INTERNATIONAL,1,0,1,2,2,2,3,0,1,1,4,2
Uttar Pradesh,Pilibhit - UP26,L3G,U.P. TELELINKS LIMITED,0,0,1,0,0,0,0,0,0,1,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,YC ELECTRIC VEHICLE,0,0,0,0,0,0,0,0,1,0,1,3
