State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Pilibhit - UP26,E2W,ATHER ENERGY LTD,0,0,0,4,0,0,0,4,0,0,0
Uttar Pradesh,Pilibhit - UP26,E2W,BAJAJ AUTO LTD,3,1,4,4,7,2,0,21,0,0,0
Uttar Pradesh,Pilibhit - UP26,E2W,BGAUSS AUTO PRIVATE LIMITED,0,0,0,0,0,0,1,1,0,0,0
Uttar Pradesh,Pilibhit - UP26,E2W,HERO MOTOCORP LTD,0,1,2,0,2,2,0,7,0,0,0
Uttar Pradesh,Pilibhit - UP26,E2W,OKINAWA AUTOTECH PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Pilibhit - UP26,E2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,3,1,4,7,8,8,0,31,0,0,0
Uttar Pradesh,Pilibhit - UP26,E2W,PUR ENERGY PVT LTD,0,3,0,0,3,0,0,6,0,0,0
Uttar Pradesh,Pilibhit - UP26,E2W,REVOLT INTELLICORP PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Pilibhit - UP26,E2W,SOKUDO ELECTRIC INDIA PVT LTD,0,0,0,0,0,2,0,2,0,0,0
Uttar Pradesh,Pilibhit - UP26,E2W,TVS MOTOR COMPANY LTD,1,0,0,1,1,3,0,6,0,0,0
