State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Pilibhit - UP26,L3G,BALI AUTO INDUSTRIES,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,BRIGHT AUTOZONE PVT LTD,0,1,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,DILLI ELECTRIC AUTO PVT LTD,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,ENTICE IMPEX PVT LTD,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,HOTAGE INDIA,2,3,0,2,1,1,0,9,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,HUNDAL INDUSTRIES,0,0,0,1,1,0,0,2,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,MAHINDRA & MAHINDRA LIMITED,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,MANITA CITY MOTORS LLP,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,MINI METRO EV L.L.P,0,2,2,3,0,2,0,9,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,M/S SHRIRAM AUTO TECH PVT LTD,0,0,1,0,1,0,0,2,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,SAERA ELECTRIC AUTO PVT LTD,0,0,1,0,0,0,0,1,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,2,0,2,0,0,0,4,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,SHREE SIDHIVINAYAK AUTO,0,0,0,0,3,0,0,3,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,SUDHRAJ ELECTRIC MOBILITY PVT. LTD.,0,0,0,1,2,0,0,3,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,SUPERTECH EV LIMITED,0,0,0,0,0,2,0,2,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,T U K INDUSTRIES,0,0,3,2,6,5,0,16,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,UNIQUE AUTO ELECTRIC,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,UNIQUE INTERNATIONAL,5,3,7,4,3,2,0,24,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,U.P. TELELINKS LIMITED,0,0,1,0,0,1,0,2,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,VIMAL UNIVERSAL TRADE PVT LTD,0,0,0,0,1,0,0,1,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3G,YC ELECTRIC VEHICLE,0,0,1,2,1,2,0,6,0,0,0
