State,RTO,Variant,OEM,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30
Uttar Pradesh,Pilibhit - UP26,L3P,3S INDUSTRIES PRIVATE LIMITED,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3P,ADITYA SAI INDUSTRIES,4,2,14,45,30,28,2,125,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3P,ALLFINE INDUSTRIES PVT LTD,0,0,0,0,0,3,0,3,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3P,AMAN ELECTRIC VEHICLES,1,0,0,0,0,0,0,1,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3P,APARNA INDUSTRIES,0,2,7,44,14,8,1,76,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3P,ATUT SANGAM,0,0,0,0,0,1,0,1,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3P,AVL ELECTRIC VEHICLES PVT LTD,0,0,2,2,3,2,0,9,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3P,BALI AUTO INDUSTRIES,2,0,1,2,1,4,0,10,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3P,BRIGHT AUTOZONE PVT LTD,0,2,0,0,2,0,0,4,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3P,CARREE YUNUS VEHICLE PVT LTD,0,0,2,0,2,2,0,6,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3P,CHAMPION POLY PLAST,0,1,0,0,2,2,0,5,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3P,CHEHAK BATTERIES,0,1,0,1,4,0,0,6,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3P,DAKSH INDUSTRIES,0,0,0,1,3,0,0,4,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3P,DELTA AUTOCORP LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3P,DELTEK ENTERPRISES PVT LTD,0,0,2,2,0,2,0,6,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3P,DHARMPAL ENTERPRISES,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3P,DIAMOND E VEHICLES,0,0,1,3,1,4,0,9,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3P,DILLI ELECTRIC AUTO PVT LTD,2,1,1,4,5,1,0,14,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3P,DIVYA ENTERPRISES,1,2,1,2,10,2,0,18,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3P,ENERGY ELECTRIC VEHICLES,5,2,1,8,4,2,0,22,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3P,ENTICE IMPEX PVT LTD,4,0,2,3,2,2,0,13,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3P,GAYATRI ELECTRIC VEHICLES PVT LTD,0,0,0,1,0,0,0,1,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3P,GREEN IMPEX,0,0,0,3,0,0,0,3,0,0,0
Uttar Pradesh,Pilibhit - UP26,L3P,HINDUSTAN MOTOR CORPORATION,0,0,0,1,0,0,0,1,0,0,0
