State,RTO,Variant,OEM,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
Uttar Pradesh,Prayagraj RTO - UP70,ICE,BAJAJ AUTO LTD,547,682,682,"1,012","1,046",560,579,373,306,695,"1,613",489
Uttar Pradesh,Prayagraj RTO - UP70,ICE,BMW INDIA PVT LTD,0,0,3,0,0,0,0,1,2,1,0,1
Uttar Pradesh,Prayagraj RTO - UP70,ICE,CLASSIC LEGENDS PVT LTD,4,9,3,9,2,1,7,5,1,4,4,4
Uttar Pradesh,Prayagraj RTO - UP70,ICE,HERO MOTOCORP LTD,"2,250","2,810","3,438","5,241","5,056","2,861","2,851","1,968","1,529","3,173","7,503","2,592"
Uttar Pradesh,Prayagraj RTO - UP70,ICE,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,877,868,962,"1,188","1,170",750,898,743,668,"1,186","2,316","1,109"
Uttar Pradesh,Prayagraj RTO - UP70,ICE,INDIA KAWASAKI MOTORS PVT LTD,0,1,0,0,0,1,2,0,1,0,0,0
Uttar Pradesh,Prayagraj RTO - UP70,ICE,INDIA YAMAHA MOTOR PVT LTD,83,82,57,89,109,55,54,52,54,85,175,82
Uttar Pradesh,Prayagraj RTO - UP70,ICE,PIAGGIO VEHICLES PVT LTD,0,0,0,0,0,0,2,0,0,2,0,0
Uttar Pradesh,Prayagraj RTO - UP70,ICE,ROYAL-ENFIELD (UNIT OF EICHER LTD),283,371,365,438,292,237,195,180,179,486,591,300
Uttar Pradesh,Prayagraj RTO - UP70,ICE,SUZUKI MOTORCYCLE INDIA PVT LTD,77,62,53,76,73,52,94,75,46,97,139,53
Uttar Pradesh,Prayagraj RTO - UP70,ICE,TVS MOTOR COMPANY LTD,882,"1,158","1,036","1,648","1,435",795,911,755,589,"1,248","2,524","1,040"
